Year,Series,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,population who felt discriminated in their contacts with public services in the last two years,percentage,.,,,
2011,population who felt discriminated in their contacts with public services in the last two years,percentage,.,,,
2012,population who felt discriminated in their contacts with public services in the last two years,percentage,.,,,
2013,population who felt discriminated in their contacts with public services in the last two years,percentage,.,,,
2014,population who felt discriminated in their contacts with public services in the last two years,percentage,.,,,
2015,population who felt discriminated in their contacts with public services in the last two years,percentage,,,,13
2016,population who felt discriminated in their contacts with public services in the last two years,percentage,.,,,
2017,population who felt discriminated in their contacts with public services in the last two years,percentage,,,,10
2018,population who felt discriminated in their contacts with public services in the last two years,percentage,.,,,
2019,population who felt discriminated in their contacts with public services in the last two years,percentage,,,,9
2020,population who felt discriminated in their contacts with public services in the last two years,percentage,.,,,
2021,population who felt discriminated in their contacts with public services in the last two years,percentage,,,,8
2022,population who felt discriminated in their contacts with public services in the last two years,percentage,.,,,
2023,population who felt discriminated in their contacts with public services in the last two years,percentage,,,,11
2010,female victims of sexual violence by an intimate partner,number,.,,,
2011,female victims of sexual violence by an intimate partner,number,.,,,
2012,female victims of sexual violence by an intimate partner,number,.,,,
2013,female victims of sexual violence by an intimate partner,number,.,,,
2014,female victims of sexual violence by an intimate partner,number,.,,,
2015,female victims of sexual violence by an intimate partner,number,.,,,
2016,female victims of sexual violence by an intimate partner,number,.,,,
2017,female victims of sexual violence by an intimate partner,number,.,,,
2018,female victims of sexual violence by an intimate partner,number,r,,,3331
2019,female victims of sexual violence by an intimate partner,number,r,,,3259
2020,female victims of sexual violence by an intimate partner,number,r,,,3578
2021,female victims of sexual violence by an intimate partner,number,r,,,3817
2022,female victims of sexual violence by an intimate partner,number,r,,,4227
2023,female victims of sexual violence by an intimate partner,number,r,,,4521
2024,female victims of sexual violence by an intimate partner,number,,,,4994
2010,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",.,,,
2011,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",.,,,
2012,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",.,,,
2013,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",.,,,
2014,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",.,,,
2015,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",.,,,
2016,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",.,,,
2017,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",.,,,
2018,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",r,,,9.19
2019,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",r,,,8.99
2020,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",r,,,9.88
2021,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",r,,,10.57
2022,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",r,,,11.73
2023,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",r,,,12.37
2024,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",,,,13.64
2010,female victims of sexual violence by an intimate partner,percentage,.,,,
2011,female victims of sexual violence by an intimate partner,percentage,.,,,
2012,female victims of sexual violence by an intimate partner,percentage,.,,,
2013,female victims of sexual violence by an intimate partner,percentage,.,,,
2014,female victims of sexual violence by an intimate partner,percentage,.,,,
2015,female victims of sexual violence by an intimate partner,percentage,.,,,
2016,female victims of sexual violence by an intimate partner,percentage,.,,,
2017,female victims of sexual violence by an intimate partner,percentage,.,,,
2018,female victims of sexual violence by an intimate partner,percentage,,,,0.01
2019,female victims of sexual violence by an intimate partner,percentage,,,,0.01
2020,female victims of sexual violence by an intimate partner,percentage,,,,0.01
2021,female victims of sexual violence by an intimate partner,percentage,,,,0.01
2022,female victims of sexual violence by an intimate partner,percentage,,,,0.01
2023,female victims of sexual violence by an intimate partner,percentage,,,,0.01
2024,female victims of sexual violence by an intimate partner,percentage,,,,0.01
