Year,Units,Series,type of unpaid work,degree of urbanisation,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,eur per capita,household disposable income per capita,,,,,,,,19663.084
2011,eur per capita,household disposable income per capita,,,,,,,,20281.719
2012,eur per capita,household disposable income per capita,,,,,,,,20682.553
2013,eur per capita,household disposable income per capita,,,,,,,,20911.783
2014,eur per capita,household disposable income per capita,,,,,,,,21420.157
2015,eur per capita,household disposable income per capita,,,,,,,,21912.423
2016,eur per capita,household disposable income per capita,,,,,,,,22423.394
2017,eur per capita,household disposable income per capita,,,,,,,,23161.108
2018,eur per capita,household disposable income per capita,,,,,,,,24058.887
2019,eur per capita,household disposable income per capita,,,,,,,,24634.551
2020,eur per capita,household disposable income per capita,,,,,,,,24685.581
2021,eur per capita,household disposable income per capita,,,,,,,,25465.406
2022,eur per capita,household disposable income per capita,,,,,,,p,27557.077
2023,eur per capita,household disposable income per capita,,,,,,,p,28999.712
2024,eur per capita,household disposable income per capita,,,,,,,p,30068.633
2025,eur per capita,household disposable income per capita,,,,,,,p,30938.572
2015,percentage,composite rate of labour underutilization,,,,,,,,10.652
2016,percentage,composite rate of labour underutilization,,,,,,,,9.804
2017,percentage,composite rate of labour underutilization,,,,,,,,9.197
2018,percentage,composite rate of labour underutilization,,,,,,,,8.283
2019,percentage,composite rate of labour underutilization,,,,,,,,7.777
2020,percentage,composite rate of labour underutilization,,,,,,,,9.995
2021,percentage,composite rate of labour underutilization,,,,,,,,7.513
2022,percentage,composite rate of labour underutilization,,,,,,,,6.796
2023,percentage,composite rate of labour underutilization,,,,,,,,6.632
2024,percentage,composite rate of labour underutilization,,,,,,,,7.077
2025,percentage,composite rate of labour underutilization,,,,,,,,7.95
2015,percentage,composite rate of labour underutilization,,,,female,,,,12.207
2016,percentage,composite rate of labour underutilization,,,,female,,,,11.094
2017,percentage,composite rate of labour underutilization,,,,female,,,,10.213
2018,percentage,composite rate of labour underutilization,,,,female,,,,9.061
2019,percentage,composite rate of labour underutilization,,,,female,,,,8.538
2020,percentage,composite rate of labour underutilization,,,,female,,,,10.931
2021,percentage,composite rate of labour underutilization,,,,female,,,,7.813
2022,percentage,composite rate of labour underutilization,,,,female,,,,7.132
2023,percentage,composite rate of labour underutilization,,,,female,,,,7.014
2024,percentage,composite rate of labour underutilization,,,,female,,,,7.47
2025,percentage,composite rate of labour underutilization,,,,female,,,,8.154
2015,percentage,composite rate of labour underutilization,,,,male,,,,9.294
2016,percentage,composite rate of labour underutilization,,,,male,,,,8.685
2017,percentage,composite rate of labour underutilization,,,,male,,,,8.317
2018,percentage,composite rate of labour underutilization,,,,male,,,,7.611
2019,percentage,composite rate of labour underutilization,,,,male,,,,7.114
2020,percentage,composite rate of labour underutilization,,,,male,,,,9.174
2021,percentage,composite rate of labour underutilization,,,,male,,,,7.251
2022,percentage,composite rate of labour underutilization,,,,male,,,,6.501
2023,percentage,composite rate of labour underutilization,,,,male,,,,6.294
2024,percentage,composite rate of labour underutilization,,,,male,,,,6.731
2025,percentage,composite rate of labour underutilization,,,,male,,,,7.768
2013,percentage,time spent on unpaid domestic and care work,,,,,,,,12.4
2022,percentage,time spent on unpaid domestic and care work,,,,,,,,12.6
2013,percentage,time spent on unpaid domestic and care work,,urban,,,,,,12.3
2022,percentage,time spent on unpaid domestic and care work,,urban,,,,,,12.6
2013,percentage,time spent on unpaid domestic and care work,,rural areas,,,,,,12.6
2022,percentage,time spent on unpaid domestic and care work,,rural areas,,,,,,12.9
2013,percentage,time spent on unpaid domestic and care work,,,15 years and older,,,,,12.8
2022,percentage,time spent on unpaid domestic and care work,,,15 years and older,,,,,13.1
2013,percentage,time spent on unpaid domestic and care work,,,15 to under 25 years,,,,,5.4
2022,percentage,time spent on unpaid domestic and care work,,,15 to under 25 years,,,,,5.7
2013,percentage,time spent on unpaid domestic and care work,,,25 to under 45 years,,,,,13.6
2022,percentage,time spent on unpaid domestic and care work,,,25 to under 45 years,,,,,13.9
2013,percentage,time spent on unpaid domestic and care work,,,45 to under 55 years,,,,,13
2022,percentage,time spent on unpaid domestic and care work,,,45 to under 55 years,,,,,13
2013,percentage,time spent on unpaid domestic and care work,,,55 to under 65 years,,,,,13.5
2022,percentage,time spent on unpaid domestic and care work,,,55 to under 65 years,,,,,13.2
2013,percentage,time spent on unpaid domestic and care work,,,65 years and older,,,,,15.5
2022,percentage,time spent on unpaid domestic and care work,,,65 years and older,,,,,15.3
2013,percentage,time spent on unpaid domestic and care work,,,,female,,,,15.2
2022,percentage,time spent on unpaid domestic and care work,,,,female,,,,15.1
2013,percentage,time spent on unpaid domestic and care work,,,,male,,,,9.6
2022,percentage,time spent on unpaid domestic and care work,,,,male,,,,10.1
2013,percentage,time spent on unpaid domestic and care work,,urban,,female,,,,15.1
2022,percentage,time spent on unpaid domestic and care work,,urban,,female,,,,15.1
2013,percentage,time spent on unpaid domestic and care work,,rural areas,,female,,,,15.5
2022,percentage,time spent on unpaid domestic and care work,,rural areas,,female,,,,15.4
2013,percentage,time spent on unpaid domestic and care work,,,15 years and older,female,,,,15.7
2022,percentage,time spent on unpaid domestic and care work,,,15 years and older,female,,,,15.7
2013,percentage,time spent on unpaid domestic and care work,,,15 to under 25 years,female,,,,6.8
2022,percentage,time spent on unpaid domestic and care work,,,15 to under 25 years,female,,,,7.1
2013,percentage,time spent on unpaid domestic and care work,,,25 to under 45 years,female,,,,17.8
2022,percentage,time spent on unpaid domestic and care work,,,25 to under 45 years,female,,,,17.6
2013,percentage,time spent on unpaid domestic and care work,,,45 to under 55 years,female,,,,15.8
2022,percentage,time spent on unpaid domestic and care work,,,45 to under 55 years,female,,,,15.7
2013,percentage,time spent on unpaid domestic and care work,,,55 to under 65 years,female,,,,16.0
2022,percentage,time spent on unpaid domestic and care work,,,55 to under 65 years,female,,,,15.4
2013,percentage,time spent on unpaid domestic and care work,,,65 years and older,female,,,,17.5
2022,percentage,time spent on unpaid domestic and care work,,,65 years and older,female,,,,16.7
2013,percentage,time spent on unpaid domestic and care work,,urban,,male,,,,9.6
2022,percentage,time spent on unpaid domestic and care work,,urban,,male,,,,10.1
2013,percentage,time spent on unpaid domestic and care work,,rural areas,,male,,,,9.8
2022,percentage,time spent on unpaid domestic and care work,,rural areas,,male,,,,10.3
2013,percentage,time spent on unpaid domestic and care work,,,15 years and older,male,,,,9.9
2022,percentage,time spent on unpaid domestic and care work,,,15 years and older,male,,,,10.5
2013,percentage,time spent on unpaid domestic and care work,,,15 to under 25 years,male,,,,4.1
2022,percentage,time spent on unpaid domestic and care work,,,15 to under 25 years,male,,,,4.3
2013,percentage,time spent on unpaid domestic and care work,,,25 to under 45 years,male,,,,9.5
2022,percentage,time spent on unpaid domestic and care work,,,25 to under 45 years,male,,,,10.1
2013,percentage,time spent on unpaid domestic and care work,,,45 to under 55 years,male,,,,10.2
2022,percentage,time spent on unpaid domestic and care work,,,45 to under 55 years,male,,,,10.4
2013,percentage,time spent on unpaid domestic and care work,,,55 to under 65 years,male,,,,10.9
2022,percentage,time spent on unpaid domestic and care work,,,55 to under 65 years,male,,,,10.9
2013,percentage,time spent on unpaid domestic and care work,,,65 years and older,male,,,,13.6
2022,percentage,time spent on unpaid domestic and care work,,,65 years and older,male,,,,13.9
2013,percentage,time spent on unpaid domestic and care work,,urban,15 years and older,,,,,12.8
2022,percentage,time spent on unpaid domestic and care work,,urban,15 years and older,,,,,13.1
2013,percentage,time spent on unpaid domestic and care work,,urban,15 to under 25 years,,,,,5.5
2022,percentage,time spent on unpaid domestic and care work,,urban,15 to under 25 years,,,,,5.9
2013,percentage,time spent on unpaid domestic and care work,,urban,25 to under 45 years,,,,,13.4
2022,percentage,time spent on unpaid domestic and care work,,urban,25 to under 45 years,,,,,13.9
2013,percentage,time spent on unpaid domestic and care work,,urban,45 to under 55 years,,,,,12.9
2022,percentage,time spent on unpaid domestic and care work,,urban,45 to under 55 years,,,,,12.9
2013,percentage,time spent on unpaid domestic and care work,,urban,55 to under 65 years,,,,,13.4
2022,percentage,time spent on unpaid domestic and care work,,urban,55 to under 65 years,,,,,13.0
2013,percentage,time spent on unpaid domestic and care work,,urban,65 years and older,,,,,15.6
2022,percentage,time spent on unpaid domestic and care work,,urban,65 years and older,,,,,15.0
2013,percentage,time spent on unpaid domestic and care work,,rural areas,15 years and older,,,,,13.0
2022,percentage,time spent on unpaid domestic and care work,,rural areas,15 years and older,,,,,13.4
2013,percentage,time spent on unpaid domestic and care work,,rural areas,15 to under 25 years,,,,,5.4
2022,percentage,time spent on unpaid domestic and care work,,rural areas,15 to under 25 years,,,,,5.0
2013,percentage,time spent on unpaid domestic and care work,,rural areas,25 to under 45 years,,,,,14.5
2022,percentage,time spent on unpaid domestic and care work,,rural areas,25 to under 45 years,,,,,13.7
2013,percentage,time spent on unpaid domestic and care work,,rural areas,45 to under 55 years,,,,,13.2
2022,percentage,time spent on unpaid domestic and care work,,rural areas,45 to under 55 years,,,,,13.4
2013,percentage,time spent on unpaid domestic and care work,,rural areas,55 to under 65 years,,,,,13.6
2022,percentage,time spent on unpaid domestic and care work,,rural areas,55 to under 65 years,,,,,14.0
2013,percentage,time spent on unpaid domestic and care work,,rural areas,65 years and older,,,,,15.4
2022,percentage,time spent on unpaid domestic and care work,,rural areas,65 years and older,,,,,16.2
2013,percentage,time spent on unpaid domestic and care work,,urban,15 years and older,female,,,,15.7
2022,percentage,time spent on unpaid domestic and care work,,urban,15 years and older,female,,,,15.7
2013,percentage,time spent on unpaid domestic and care work,,urban,15 to under 25 years,female,,,,6.9
2022,percentage,time spent on unpaid domestic and care work,,urban,15 to under 25 years,female,,,,7.3
2013,percentage,time spent on unpaid domestic and care work,,urban,25 to under 45 years,female,,,,17.5
2022,percentage,time spent on unpaid domestic and care work,,urban,25 to under 45 years,female,,,,17.7
2013,percentage,time spent on unpaid domestic and care work,,urban,45 to under 55 years,female,,,,15.7
2022,percentage,time spent on unpaid domestic and care work,,urban,45 to under 55 years,female,,,,15.6
2013,percentage,time spent on unpaid domestic and care work,,urban,55 to under 65 years,female,,,,16.1
2022,percentage,time spent on unpaid domestic and care work,,urban,55 to under 65 years,female,,,,15.3
2013,percentage,time spent on unpaid domestic and care work,,urban,65 years and older,female,,,,17.5
2022,percentage,time spent on unpaid domestic and care work,,urban,65 years and older,female,,,,16.4
2013,percentage,time spent on unpaid domestic and care work,,rural areas,15 years and older,female,,,,16.0
2022,percentage,time spent on unpaid domestic and care work,,rural areas,15 years and older,female,,,,15.9
2013,percentage,time spent on unpaid domestic and care work,,rural areas,15 to under 25 years,female,,,,6.5
2022,percentage,time spent on unpaid domestic and care work,,rural areas,15 to under 25 years,female,,,,6.2
2013,percentage,time spent on unpaid domestic and care work,,rural areas,25 to under 45 years,female,,,,19.3
2022,percentage,time spent on unpaid domestic and care work,,rural areas,25 to under 45 years,female,,,,17.5
2013,percentage,time spent on unpaid domestic and care work,,rural areas,45 to under 55 years,female,,,,16.1
2022,percentage,time spent on unpaid domestic and care work,,rural areas,45 to under 55 years,female,,,,15.8
2013,percentage,time spent on unpaid domestic and care work,,rural areas,55 to under 65 years,female,,,,15.4
2022,percentage,time spent on unpaid domestic and care work,,rural areas,55 to under 65 years,female,,,,15.8
2013,percentage,time spent on unpaid domestic and care work,,rural areas,65 years and older,female,,,,17.6
2022,percentage,time spent on unpaid domestic and care work,,rural areas,65 years and older,female,,,,17.4
2013,percentage,time spent on unpaid domestic and care work,,urban,15 years and older,male,,,,9.9
2022,percentage,time spent on unpaid domestic and care work,,urban,15 years and older,male,,,,10.5
2013,percentage,time spent on unpaid domestic and care work,,urban,15 to under 25 years,male,,,,4.1
2022,percentage,time spent on unpaid domestic and care work,,urban,15 to under 25 years,male,,,,4.4
2013,percentage,time spent on unpaid domestic and care work,,urban,25 to under 45 years,male,,,,9.4
2022,percentage,time spent on unpaid domestic and care work,,urban,25 to under 45 years,male,,,,10.2
2013,percentage,time spent on unpaid domestic and care work,,urban,45 to under 55 years,male,,,,10.2
2022,percentage,time spent on unpaid domestic and care work,,urban,45 to under 55 years,male,,,,10.2
2013,percentage,time spent on unpaid domestic and care work,,urban,55 to under 65 years,male,,,,10.7
2022,percentage,time spent on unpaid domestic and care work,,urban,55 to under 65 years,male,,,,10.6
2013,percentage,time spent on unpaid domestic and care work,,urban,65 years and older,male,,,,13.7
2022,percentage,time spent on unpaid domestic and care work,,urban,65 years and older,male,,,,13.7
2013,percentage,time spent on unpaid domestic and care work,,rural areas,15 years and older,male,,,,10.1
2022,percentage,time spent on unpaid domestic and care work,,rural areas,15 years and older,male,,,,10.8
2013,percentage,time spent on unpaid domestic and care work,,rural areas,15 to under 25 years,male,,,,4.3
