Year,Units,Series,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,years,healthy life expectancy at birth,,,,,58.3
2011,years,healthy life expectancy at birth,,,,,58.2
2012,years,healthy life expectancy at birth,,,,,57.6
2013,years,healthy life expectancy at birth,,,,,57.4
2014,years,healthy life expectancy at birth,,,,,56.5
2015,years,healthy life expectancy at birth,,|,,,66.4
2016,years,healthy life expectancy at birth,,,,,66.4
2017,years,healthy life expectancy at birth,,,,,66
2018,years,healthy life expectancy at birth,,,,,65.8
2019,years,healthy life expectancy at birth,,,,,66.3
2020,years,healthy life expectancy at birth,,|,,,65.7
2021,years,healthy life expectancy at birth,,,,,65.6
2022,years,healthy life expectancy at birth,,|,,,61.1
2023,years,healthy life expectancy at birth,,|,,,62.5
2024,years,healthy life expectancy at birth,,,,,62.4
2010,years,healthy life expectancy at birth,female,,,,58.7
2011,years,healthy life expectancy at birth,female,,,,58.6
2012,years,healthy life expectancy at birth,female,,,,57.9
2013,years,healthy life expectancy at birth,female,,,,57
2014,years,healthy life expectancy at birth,female,,,,56.5
2015,years,healthy life expectancy at birth,female,|,,,67.5
2016,years,healthy life expectancy at birth,female,,,,67.3
2017,years,healthy life expectancy at birth,female,,,,66.7
2018,years,healthy life expectancy at birth,female,,,,66.3
2019,years,healthy life expectancy at birth,female,,,,67.1
2020,years,healthy life expectancy at birth,female,|,,,66.8
2021,years,healthy life expectancy at birth,female,,,,66.5
2022,years,healthy life expectancy at birth,female,|,,,61.2
2023,years,healthy life expectancy at birth,female,|,,,63
2024,years,healthy life expectancy at birth,female,,,,62.6
2010,years,healthy life expectancy at birth,male,,,,57.9
2011,years,healthy life expectancy at birth,male,,,,57.8
2012,years,healthy life expectancy at birth,male,,,,57.3
2013,years,healthy life expectancy at birth,male,,,,57.7
2014,years,healthy life expectancy at birth,male,,,,56.4
2015,years,healthy life expectancy at birth,male,|,,,65.3
2016,years,healthy life expectancy at birth,male,,,,65.3
2017,years,healthy life expectancy at birth,male,,,,65.1
2018,years,healthy life expectancy at birth,male,,,,65.1
2019,years,healthy life expectancy at birth,male,,,,65.4
2020,years,healthy life expectancy at birth,male,|,,,64.7
2021,years,healthy life expectancy at birth,male,,,,64.7
2022,years,healthy life expectancy at birth,male,|,,,60.9
2023,years,healthy life expectancy at birth,male,|,,,62.1
2024,years,healthy life expectancy at birth,male,,,,62.1
2010,percentage,low-birthweight babies (percentage of births),,,,,6.9
2011,percentage,low-birthweight babies (percentage of births),,,,,6.9
2012,percentage,low-birthweight babies (percentage of births),,,,,6.9
2013,percentage,low-birthweight babies (percentage of births),,,,,6.6
