Year,Series,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,neet rates from young people (15 to under 25 years),,|,,,8.3
2011,neet rates from young people (15 to under 25 years),,|,,,7.5
2012,neet rates from young people (15 to under 25 years),,|,,,7.1
2013,neet rates from young people (15 to under 25 years),,,,,6.3
2014,neet rates from young people (15 to under 25 years),,,,,6.4
2015,neet rates from young people (15 to under 25 years),,,,,6.2
2016,neet rates from young people (15 to under 25 years),,,,,6.7
2017,neet rates from young people (15 to under 25 years),,,,,6.3
2018,neet rates from young people (15 to under 25 years),,,,,5.9
2019,neet rates from young people (15 to under 25 years),,,,,5.7
2020,neet rates from young people (15 to under 25 years),,|,,,7.4
2021,neet rates from young people (15 to under 25 years),,|,,,7.7
2022,neet rates from young people (15 to under 25 years),,,,,6.9
2023,neet rates from young people (15 to under 25 years),,,,,7.5
2024,neet rates from young people (15 to under 25 years),,|,r,,7.7
2025,neet rates from young people (15 to under 25 years),,,,,8.2
2010,neet rates from young people (15 to under 25 years),female,|,,,9.0
2011,neet rates from young people (15 to under 25 years),female,|,,,8.3
2012,neet rates from young people (15 to under 25 years),female,|,,,7.9
2013,neet rates from young people (15 to under 25 years),female,,,,7.0
2014,neet rates from young people (15 to under 25 years),female,,,,7.2
2015,neet rates from young people (15 to under 25 years),female,,,,7.0
2016,neet rates from young people (15 to under 25 years),female,,,,7.4
2017,neet rates from young people (15 to under 25 years),female,,,,6.7
2018,neet rates from young people (15 to under 25 years),female,,,,6.5
2019,neet rates from young people (15 to under 25 years),female,,,,6.2
2020,neet rates from young people (15 to under 25 years),female,|,,,7.6
2021,neet rates from young people (15 to under 25 years),female,|,,,7.8
2022,neet rates from young people (15 to under 25 years),female,,,,7.4
2023,neet rates from young people (15 to under 25 years),female,,,,7.8
2024,neet rates from young people (15 to under 25 years),female,|,,,7.7
2025,neet rates from young people (15 to under 25 years),female,,,,8.4
2010,neet rates from young people (15 to under 25 years),male,|,,,7.6
2011,neet rates from young people (15 to under 25 years),male,|,,,6.7
2012,neet rates from young people (15 to under 25 years),male,|,,,6.3
2013,neet rates from young people (15 to under 25 years),male,,,,5.6
2014,neet rates from young people (15 to under 25 years),male,,,,5.5
2015,neet rates from young people (15 to under 25 years),male,,,,5.4
2016,neet rates from young people (15 to under 25 years),male,,,,6.1
2017,neet rates from young people (15 to under 25 years),male,,,,5.8
2018,neet rates from young people (15 to under 25 years),male,,,,5.4
2019,neet rates from young people (15 to under 25 years),male,,,,5.2
2020,neet rates from young people (15 to under 25 years),male,|,,,7.2
2021,neet rates from young people (15 to under 25 years),male,|,,,7.6
2022,neet rates from young people (15 to under 25 years),male,,,,6.4
2023,neet rates from young people (15 to under 25 years),male,,,,7.2
2024,neet rates from young people (15 to under 25 years),male,|,,,7.2
2025,neet rates from young people (15 to under 25 years),male,,,,8.0
2010,"potential years of life lost (pyll), all causes",,,,,
2011,"potential years of life lost (pyll), all causes",,,,,
2012,"potential years of life lost (pyll), all causes",,,,,
2013,"potential years of life lost (pyll), all causes",,,,,
2014,"potential years of life lost (pyll), all causes",,,,,
2015,"potential years of life lost (pyll), all causes",,,,,
2016,"potential years of life lost (pyll), all causes",,,,,
2017,"potential years of life lost (pyll), all causes",,,,,
2018,"potential years of life lost (pyll), all causes",,,,,
2019,"potential years of life lost (pyll), all causes",,,,,
2020,"potential years of life lost (pyll), all causes",,,,,
2021,"potential years of life lost (pyll), all causes",,,,,
2022,"potential years of life lost (pyll), all causes",,,,,
2023,"potential years of life lost (pyll), all causes",,,,,
2024,"potential years of life lost (pyll), all causes",,,,,
2025,"potential years of life lost (pyll), all causes",,,,,
