Year,Units,Series,Art der unbezahlten Arbeit,Verstädterungsgrad,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Euro pro Kopf,Verfügbares Haushaltseinkommen pro Kopf,,,,,,,,19663.084
2011,Euro pro Kopf,Verfügbares Haushaltseinkommen pro Kopf,,,,,,,,20281.719
2012,Euro pro Kopf,Verfügbares Haushaltseinkommen pro Kopf,,,,,,,,20682.553
2013,Euro pro Kopf,Verfügbares Haushaltseinkommen pro Kopf,,,,,,,,20911.783
2014,Euro pro Kopf,Verfügbares Haushaltseinkommen pro Kopf,,,,,,,,21420.157
2015,Euro pro Kopf,Verfügbares Haushaltseinkommen pro Kopf,,,,,,,,21912.423
2016,Euro pro Kopf,Verfügbares Haushaltseinkommen pro Kopf,,,,,,,,22423.394
2017,Euro pro Kopf,Verfügbares Haushaltseinkommen pro Kopf,,,,,,,,23161.108
2018,Euro pro Kopf,Verfügbares Haushaltseinkommen pro Kopf,,,,,,,,24058.887
2019,Euro pro Kopf,Verfügbares Haushaltseinkommen pro Kopf,,,,,,,,24634.551
2020,Euro pro Kopf,Verfügbares Haushaltseinkommen pro Kopf,,,,,,,,24685.581
2021,Euro pro Kopf,Verfügbares Haushaltseinkommen pro Kopf,,,,,,,,25465.406
2022,Euro pro Kopf,Verfügbares Haushaltseinkommen pro Kopf,,,,,,,p,27557.077
2023,Euro pro Kopf,Verfügbares Haushaltseinkommen pro Kopf,,,,,,,p,28999.712
2024,Euro pro Kopf,Verfügbares Haushaltseinkommen pro Kopf,,,,,,,p,30068.633
2025,Euro pro Kopf,Verfügbares Haushaltseinkommen pro Kopf,,,,,,,p,30938.572
2010,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,15 bis unter 75 Jahre,,|,,,12.2
2011,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,15 bis unter 75 Jahre,,|,,,10.7
2012,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,15 bis unter 75 Jahre,,,,,10.0
2013,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,15 bis unter 75 Jahre,,,,,9.8
