Year,Bildungsstand,Schulfach,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Ende der Grundschule,Lesen,.,,,
2011,Ende der Grundschule,Lesen,,,,98.0
2012,Ende der Grundschule,Lesen,.,,,
2013,Ende der Grundschule,Lesen,.,,,
2014,Ende der Grundschule,Lesen,.,,,
2015,Ende der Grundschule,Lesen,.,,,
2016,Ende der Grundschule,Lesen,,,,95.0
2017,Ende der Grundschule,Lesen,.,,,
2018,Ende der Grundschule,Lesen,.,,,
2019,Ende der Grundschule,Lesen,.,,,
2020,Ende der Grundschule,Lesen,.,,,
2021,Ende der Grundschule,Lesen,,,,94.0
2022,Ende der Grundschule,Lesen,…,,,
2023,Ende der Grundschule,Lesen,…,,,
2010,Ende der Grundschule,Mathematik,.,,,
2011,Ende der Grundschule,Mathematik,,,,97.0
2012,Ende der Grundschule,Mathematik,.,,,
2013,Ende der Grundschule,Mathematik,.,,,
2014,Ende der Grundschule,Mathematik,.,,,
2015,Ende der Grundschule,Mathematik,,,,96.0
2016,Ende der Grundschule,Mathematik,.,,,
2017,Ende der Grundschule,Mathematik,.,,,
2018,Ende der Grundschule,Mathematik,.,,,
2019,Ende der Grundschule,Mathematik,,,,96.0
2020,Ende der Grundschule,Mathematik,.,,,
2021,Ende der Grundschule,Mathematik,.,,,
2022,Ende der Grundschule,Mathematik,.,,,
2023,Ende der Grundschule,Mathematik,,,,94.0
2010,Am Ende der Sekundarstufe I,Lesen,.,,,
2011,Am Ende der Sekundarstufe I,Lesen,.,,,
2012,Am Ende der Sekundarstufe I,Lesen,,,,85.6
2013,Am Ende der Sekundarstufe I,Lesen,.,,,
2014,Am Ende der Sekundarstufe I,Lesen,.,,,
2015,Am Ende der Sekundarstufe I,Lesen,,,,83.7
2016,Am Ende der Sekundarstufe I,Lesen,.,,,
2017,Am Ende der Sekundarstufe I,Lesen,.,,,
2018,Am Ende der Sekundarstufe I,Lesen,,,,79.3
2019,Am Ende der Sekundarstufe I,Lesen,.,,,
2020,Am Ende der Sekundarstufe I,Lesen,.,,,
2021,Am Ende der Sekundarstufe I,Lesen,.,,,
2022,Am Ende der Sekundarstufe I,Lesen,,,,74.4
2023,Am Ende der Sekundarstufe I,Lesen,…,,,
2010,Am Ende der Sekundarstufe I,Mathematik,.,,,
2011,Am Ende der Sekundarstufe I,Mathematik,.,,,
2012,Am Ende der Sekundarstufe I,Mathematik,,,,82.3
2013,Am Ende der Sekundarstufe I,Mathematik,.,,,
2014,Am Ende der Sekundarstufe I,Mathematik,.,,,
2015,Am Ende der Sekundarstufe I,Mathematik,,,,82.8
2016,Am Ende der Sekundarstufe I,Mathematik,.,,,
2017,Am Ende der Sekundarstufe I,Mathematik,.,,,
2018,Am Ende der Sekundarstufe I,Mathematik,,,,78.9
2019,Am Ende der Sekundarstufe I,Mathematik,.,,,
2020,Am Ende der Sekundarstufe I,Mathematik,.,,,
2021,Am Ende der Sekundarstufe I,Mathematik,.,,,
2022,Am Ende der Sekundarstufe I,Mathematik,,,,70.5
2023,Am Ende der Sekundarstufe I,Mathematik,…,,,
