Year,Bildungsstand,Art der IKT-Kompetenz,Schulfach,Altersklasse,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2011,Ende der Grundschule,,Lesen,,,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,98.0
2016,Ende der Grundschule,,Lesen,,,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,95.0
2021,Ende der Grundschule,,Lesen,,,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,94.0
2010,Ende der Grundschule,,Mathematik,,.,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,
2011,Ende der Grundschule,,Mathematik,,,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,97.0
2012,Ende der Grundschule,,Mathematik,,.,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,
2013,Ende der Grundschule,,Mathematik,,.,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,
2014,Ende der Grundschule,,Mathematik,,.,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,
2015,Ende der Grundschule,,Mathematik,,,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,96.0
2016,Ende der Grundschule,,Mathematik,,.,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,
2017,Ende der Grundschule,,Mathematik,,.,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,
2018,Ende der Grundschule,,Mathematik,,.,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,
2019,Ende der Grundschule,,Mathematik,,,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,96.0
2020,Ende der Grundschule,,Mathematik,,.,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,
2021,Ende der Grundschule,,Mathematik,,.,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,
2022,Ende der Grundschule,,Mathematik,,.,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,
2023,Ende der Grundschule,,Mathematik,,,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,94.0
2010,Am Ende der Sekundarstufe I,,Lesen,,.,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,
2011,Am Ende der Sekundarstufe I,,Lesen,,.,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,
2012,Am Ende der Sekundarstufe I,,Lesen,,,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,85.6
2013,Am Ende der Sekundarstufe I,,Lesen,,.,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,
2014,Am Ende der Sekundarstufe I,,Lesen,,.,,,Kinder und Jugendliche mit einem Mindestleistungsniveau in Lesen und Mathematik,
