Year,Geschlecht,Altersklasse,Grad des Unsicherheitsgefühls,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2012,,,Sehr sicher,r,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",41.6
2017,,,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",36.7
2020,,,Sehr sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",25.8
2012,,,Eher sicher,r,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",41.3
2017,,,Eher sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",41.9
2020,,,Eher sicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",46.3
2012,,,Eher unsicher,r,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",12.4
2017,,,Eher unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",15.2
2020,,,Eher unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",22.2
2012,,,Sehr unsicher,r,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",4.7
2017,,,Sehr unsicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",6.3
2020,,,Sehr unsicher,|,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",5.7
2012,Weiblich,,Sehr sicher,,,,"Bevölkerung, die sich sicher fühlt, nach Einbruch der Dunkelheit allein in der Umgebung ihres Wohnortes zu Fuß unterwegs zu sein",54.7
