Year,Units,Feinstaubkonzentration,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,micrograms per m3,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,19.5
2011,micrograms per m3,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,19.4
2012,micrograms per m3,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,16.8
2013,micrograms per m3,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,17.5
2014,micrograms per m3,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,17.0
2015,micrograms per m3,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,15.8
2016,micrograms per m3,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,15.3
2017,micrograms per m3,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,14.4
2018,micrograms per m3,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,15.4
2019,micrograms per m3,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,13.2
2020,micrograms per m3,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,12.3
2021,micrograms per m3,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,13.0
2022,micrograms per m3,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,13.2
2023,micrograms per m3,PM₁₀,,,,Bevölkerungsgewichtete Jahresmittelwerte von Feinstaub,11.3
