Year,Series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Gesunde Lebenserwartung bei der Geburt,,,,1
2011,Gesunde Lebenserwartung bei der Geburt,,,,1
2012,Gesunde Lebenserwartung bei der Geburt,,,,1
2013,Gesunde Lebenserwartung bei der Geburt,,,,1
2014,Gesunde Lebenserwartung bei der Geburt,,,,1
2015,Gesunde Lebenserwartung bei der Geburt,,,,1
2016,Gesunde Lebenserwartung bei der Geburt,,,,1
2017,Gesunde Lebenserwartung bei der Geburt,,,,1
2018,Gesunde Lebenserwartung bei der Geburt,,,,1
2019,Gesunde Lebenserwartung bei der Geburt,,,,1
2020,Gesunde Lebenserwartung bei der Geburt,,,,1
2021,Gesunde Lebenserwartung bei der Geburt,,,,1
2022,Gesunde Lebenserwartung bei der Geburt,,,,1
2023,Gesunde Lebenserwartung bei der Geburt,,,,1
2024,Gesunde Lebenserwartung bei der Geburt,,,,1
2010,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,1
2011,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,1
2012,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,1
2013,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,1
2014,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,1
2015,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,1
2016,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,1
2017,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,1
2018,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,1
2019,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,1
2020,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,1
2021,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,1
2022,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,1
2023,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,1
2024,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,1
