Year,Units,Partikelgröße,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Mikrogramm pro m³,PM₁₀,,,,Feinstaubkonzentration,19.5
2011,Mikrogramm pro m³,PM₁₀,,,,Feinstaubkonzentration,19.4
2012,Mikrogramm pro m³,PM₁₀,,,,Feinstaubkonzentration,16.8
2013,Mikrogramm pro m³,PM₁₀,,,,Feinstaubkonzentration,17.5
2014,Mikrogramm pro m³,PM₁₀,,,,Feinstaubkonzentration,17.0
2015,Mikrogramm pro m³,PM₁₀,,,,Feinstaubkonzentration,15.8
2016,Mikrogramm pro m³,PM₁₀,,,,Feinstaubkonzentration,15.3
2017,Mikrogramm pro m³,PM₁₀,,,,Feinstaubkonzentration,14.4
2018,Mikrogramm pro m³,PM₁₀,,,,Feinstaubkonzentration,15.4
2019,Mikrogramm pro m³,PM₁₀,,,,Feinstaubkonzentration,13.2
2020,Mikrogramm pro m³,PM₁₀,,,,Feinstaubkonzentration,12.3
2021,Mikrogramm pro m³,PM₁₀,,,,Feinstaubkonzentration,13.0
2022,Mikrogramm pro m³,PM₁₀,,,,Feinstaubkonzentration,13.2
2023,Mikrogramm pro m³,PM₁₀,,,,Feinstaubkonzentration,11.3
2010,Mikrogramm pro m³,"PM₂,₅",,,,Feinstaubkonzentration,15.9
2011,Mikrogramm pro m³,"PM₂,₅",,,,Feinstaubkonzentration,15.2
2012,Mikrogramm pro m³,"PM₂,₅",,,,Feinstaubkonzentration,12.4
2013,Mikrogramm pro m³,"PM₂,₅",,,,Feinstaubkonzentration,13.2
2014,Mikrogramm pro m³,"PM₂,₅",,,,Feinstaubkonzentration,13.0
2015,Mikrogramm pro m³,"PM₂,₅",,,,Feinstaubkonzentration,11.7
2016,Mikrogramm pro m³,"PM₂,₅",,,,Feinstaubkonzentration,11.4
2017,Mikrogramm pro m³,"PM₂,₅",,,,Feinstaubkonzentration,10.9
2018,Mikrogramm pro m³,"PM₂,₅",,,,Feinstaubkonzentration,11.2
2019,Mikrogramm pro m³,"PM₂,₅",,,,Feinstaubkonzentration,9.4
2020,Mikrogramm pro m³,"PM₂,₅",,,,Feinstaubkonzentration,8.8
2021,Mikrogramm pro m³,"PM₂,₅",,,,Feinstaubkonzentration,9.3
2022,Mikrogramm pro m³,"PM₂,₅",,,,Feinstaubkonzentration,8.6
2023,Mikrogramm pro m³,"PM₂,₅",,,,Feinstaubkonzentration,7.3
2010,Prozent,,,,,Bevölkerung mit sicher verwalteter Trinkwasserversorgung,99.3
2011,Prozent,,.,,,Bevölkerung mit sicher verwalteter Trinkwasserversorgung,
2012,Prozent,,.,,,Bevölkerung mit sicher verwalteter Trinkwasserversorgung,
2013,Prozent,,,,,Bevölkerung mit sicher verwalteter Trinkwasserversorgung,99.3
2014,Prozent,,.,,,Bevölkerung mit sicher verwalteter Trinkwasserversorgung,
2015,Prozent,,.,,,Bevölkerung mit sicher verwalteter Trinkwasserversorgung,
2016,Prozent,,,,,Bevölkerung mit sicher verwalteter Trinkwasserversorgung,99.4
2017,Prozent,,.,,,Bevölkerung mit sicher verwalteter Trinkwasserversorgung,
2018,Prozent,,.,,,Bevölkerung mit sicher verwalteter Trinkwasserversorgung,
2019,Prozent,,,,,Bevölkerung mit sicher verwalteter Trinkwasserversorgung,99.4
2020,Prozent,,.,,,Bevölkerung mit sicher verwalteter Trinkwasserversorgung,
2021,Prozent,,.,,,Bevölkerung mit sicher verwalteter Trinkwasserversorgung,
2022,Prozent,,,,,Bevölkerung mit sicher verwalteter Trinkwasserversorgung,99.5
