Year,Value,Units,Series
2010,,,Verfügbares Haushaltseinkommen pro Kopf
2011,,,Verfügbares Haushaltseinkommen pro Kopf
2012,,,Verfügbares Haushaltseinkommen pro Kopf
2013,,,Verfügbares Haushaltseinkommen pro Kopf
2014,,,Verfügbares Haushaltseinkommen pro Kopf
2015,,,Verfügbares Haushaltseinkommen pro Kopf
2016,,,Verfügbares Haushaltseinkommen pro Kopf
2017,,,Verfügbares Haushaltseinkommen pro Kopf
2018,,,Verfügbares Haushaltseinkommen pro Kopf
2019,,,Verfügbares Haushaltseinkommen pro Kopf
2020,,,Verfügbares Haushaltseinkommen pro Kopf
2021,,,Verfügbares Haushaltseinkommen pro Kopf
2022,,,Verfügbares Haushaltseinkommen pro Kopf
2023,,,Verfügbares Haushaltseinkommen pro Kopf
2024,,,Verfügbares Haushaltseinkommen pro Kopf
2025,,,Verfügbares Haushaltseinkommen pro Kopf
2010,,,Gesamtquote der Unterauslastung der Arbeitskräfte
2011,,,Gesamtquote der Unterauslastung der Arbeitskräfte
2012,,,Gesamtquote der Unterauslastung der Arbeitskräfte
2013,,,Gesamtquote der Unterauslastung der Arbeitskräfte
2014,,,Gesamtquote der Unterauslastung der Arbeitskräfte
2015,,,Gesamtquote der Unterauslastung der Arbeitskräfte
2016,,,Gesamtquote der Unterauslastung der Arbeitskräfte
2017,,,Gesamtquote der Unterauslastung der Arbeitskräfte
2018,,,Gesamtquote der Unterauslastung der Arbeitskräfte
2019,,,Gesamtquote der Unterauslastung der Arbeitskräfte
2020,,,Gesamtquote der Unterauslastung der Arbeitskräfte
2021,,,Gesamtquote der Unterauslastung der Arbeitskräfte
2022,,,Gesamtquote der Unterauslastung der Arbeitskräfte
2023,,,Gesamtquote der Unterauslastung der Arbeitskräfte
2024,,,Gesamtquote der Unterauslastung der Arbeitskräfte
2025,,,Gesamtquote der Unterauslastung der Arbeitskräfte
