Year,Value,Series
2010,1,Gesunde Lebenserwartung bei der Geburt
2011,1,Gesunde Lebenserwartung bei der Geburt
2012,1,Gesunde Lebenserwartung bei der Geburt
2013,1,Gesunde Lebenserwartung bei der Geburt
2014,1,Gesunde Lebenserwartung bei der Geburt
2015,1,Gesunde Lebenserwartung bei der Geburt
2016,1,Gesunde Lebenserwartung bei der Geburt
2017,1,Gesunde Lebenserwartung bei der Geburt
2018,1,Gesunde Lebenserwartung bei der Geburt
2019,1,Gesunde Lebenserwartung bei der Geburt
2020,1,Gesunde Lebenserwartung bei der Geburt
2021,1,Gesunde Lebenserwartung bei der Geburt
2022,1,Gesunde Lebenserwartung bei der Geburt
2023,1,Gesunde Lebenserwartung bei der Geburt
2024,1,Gesunde Lebenserwartung bei der Geburt
2010,1,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten)
2011,1,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten)
2012,1,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten)
2013,1,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten)
2014,1,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten)
2015,1,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten)
2016,1,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten)
2017,1,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten)
2018,1,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten)
2019,1,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten)
2020,1,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten)
2021,1,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten)
2022,1,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten)
2023,1,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten)
2024,1,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten)
