Year,Units,Series,Type of unpaid work,Degree of urbanisation,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,EUR per capita,Household disposable income,,,,,,,,19663.084
2011,EUR per capita,Household disposable income,,,,,,,,20281.719
2012,EUR per capita,Household disposable income,,,,,,,,20682.553
2013,EUR per capita,Household disposable income,,,,,,,,20911.783
2014,EUR per capita,Household disposable income,,,,,,,,21420.157
2015,EUR per capita,Household disposable income,,,,,,,,21912.423
2016,EUR per capita,Household disposable income,,,,,,,,22423.394
2017,EUR per capita,Household disposable income,,,,,,,,23161.108
2018,EUR per capita,Household disposable income,,,,,,,,24058.887
2019,EUR per capita,Household disposable income,,,,,,,,24634.551
2020,EUR per capita,Household disposable income,,,,,,,,24685.581
2021,EUR per capita,Household disposable income,,,,,,,,25465.406
2022,EUR per capita,Household disposable income,,,,,,,p,27557.077
2023,EUR per capita,Household disposable income,,,,,,,p,28999.712
2024,EUR per capita,Household disposable income,,,,,,,p,30068.633
2025,EUR per capita,Household disposable income,,,,,,,p,30938.572
2015,Percentage,Composite rate of labour underutilization,,,,,,,,10.652
2016,Percentage,Composite rate of labour underutilization,,,,,,,,9.804
2017,Percentage,Composite rate of labour underutilization,,,,,,,,9.197
2018,Percentage,Composite rate of labour underutilization,,,,,,,,8.283
2019,Percentage,Composite rate of labour underutilization,,,,,,,,7.777
2020,Percentage,Composite rate of labour underutilization,,,,,,,,9.995
2021,Percentage,Composite rate of labour underutilization,,,,,,,,7.513
2022,Percentage,Composite rate of labour underutilization,,,,,,,,6.796
2023,Percentage,Composite rate of labour underutilization,,,,,,,,6.632
2024,Percentage,Composite rate of labour underutilization,,,,,,,,7.077
2025,Percentage,Composite rate of labour underutilization,,,,,,,,7.95
2015,Percentage,Composite rate of labour underutilization,,,,Female,,,,12.207
2016,Percentage,Composite rate of labour underutilization,,,,Female,,,,11.094
2017,Percentage,Composite rate of labour underutilization,,,,Female,,,,10.213
2018,Percentage,Composite rate of labour underutilization,,,,Female,,,,9.061
2019,Percentage,Composite rate of labour underutilization,,,,Female,,,,8.538
2020,Percentage,Composite rate of labour underutilization,,,,Female,,,,10.931
2021,Percentage,Composite rate of labour underutilization,,,,Female,,,,7.813
2022,Percentage,Composite rate of labour underutilization,,,,Female,,,,7.132
2023,Percentage,Composite rate of labour underutilization,,,,Female,,,,7.014
2024,Percentage,Composite rate of labour underutilization,,,,Female,,,,7.47
2025,Percentage,Composite rate of labour underutilization,,,,Female,,,,8.154
2015,Percentage,Composite rate of labour underutilization,,,,Male,,,,9.294
2016,Percentage,Composite rate of labour underutilization,,,,Male,,,,8.685
2017,Percentage,Composite rate of labour underutilization,,,,Male,,,,8.317
2018,Percentage,Composite rate of labour underutilization,,,,Male,,,,7.611
2019,Percentage,Composite rate of labour underutilization,,,,Male,,,,7.114
2020,Percentage,Composite rate of labour underutilization,,,,Male,,,,9.174
2021,Percentage,Composite rate of labour underutilization,,,,Male,,,,7.251
2022,Percentage,Composite rate of labour underutilization,,,,Male,,,,6.501
2023,Percentage,Composite rate of labour underutilization,,,,Male,,,,6.294
2024,Percentage,Composite rate of labour underutilization,,,,Male,,,,6.731
2025,Percentage,Composite rate of labour underutilization,,,,Male,,,,7.768
2013,Percentage,Time spent on unpaid domestic and care work,,,,,,,,12.4
2022,Percentage,Time spent on unpaid domestic and care work,,,,,,,,12.6
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,,,,,,12.3
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,,,,,,12.6
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,,,,,,12.6
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,,,,,,12.9
2013,Percentage,Time spent on unpaid domestic and care work,,,15 years and older,,,,,12.8
2022,Percentage,Time spent on unpaid domestic and care work,,,15 years and older,,,,,13.1
2013,Percentage,Time spent on unpaid domestic and care work,,,15 to under 25 years,,,,,5.4
2022,Percentage,Time spent on unpaid domestic and care work,,,15 to under 25 years,,,,,5.7
2013,Percentage,Time spent on unpaid domestic and care work,,,25 to under 45 years,,,,,13.6
2022,Percentage,Time spent on unpaid domestic and care work,,,25 to under 45 years,,,,,13.9
2013,Percentage,Time spent on unpaid domestic and care work,,,45 to under 55 years,,,,,13.0
