Year,Series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Healthy life expectancy at,,,,1
2011,Healthy life expectancy at,,,,1
2012,Healthy life expectancy at,,,,1
2013,Healthy life expectancy at,,,,1
2014,Healthy life expectancy at,,,,1
2015,Healthy life expectancy at,,,,1
2016,Healthy life expectancy at,,,,1
2017,Healthy life expectancy at,,,,1
2018,Healthy life expectancy at,,,,1
2019,Healthy life expectancy at,,,,1
2020,Healthy life expectancy at,,,,1
2021,Healthy life expectancy at,,,,1
2022,Healthy life expectancy at,,,,1
2023,Healthy life expectancy at,,,,1
2024,Healthy life expectancy at,,,,1
2010,Low-birthweight babies (percentage of births),,,,1
2011,Low-birthweight babies (percentage of births),,,,1
2012,Low-birthweight babies (percentage of births),,,,1
2013,Low-birthweight babies (percentage of births),,,,1
2014,Low-birthweight babies (percentage of births),,,,1
2015,Low-birthweight babies (percentage of births),,,,1
2016,Low-birthweight babies (percentage of births),,,,1
2017,Low-birthweight babies (percentage of births),,,,1
2018,Low-birthweight babies (percentage of births),,,,1
2019,Low-birthweight babies (percentage of births),,,,1
2020,Low-birthweight babies (percentage of births),,,,1
2021,Low-birthweight babies (percentage of births),,,,1
2022,Low-birthweight babies (percentage of births),,,,1
2023,Low-birthweight babies (percentage of births),,,,1
2024,Low-birthweight babies (percentage of births),,,,1
