Year,Educational level,Subject,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,At the end of primary education,Reading,.,,,
2011,At the end of primary education,Reading,,,,98.0
2012,At the end of primary education,Reading,.,,,
2013,At the end of primary education,Reading,.,,,
2014,At the end of primary education,Reading,.,,,
2015,At the end of primary education,Reading,.,,,
2016,At the end of primary education,Reading,,,,95.0
2017,At the end of primary education,Reading,.,,,
2018,At the end of primary education,Reading,.,,,
2019,At the end of primary education,Reading,.,,,
2020,At the end of primary education,Reading,.,,,
2021,At the end of primary education,Reading,,,,94.0
2022,At the end of primary education,Reading,…,,,
2023,At the end of primary education,Reading,…,,,
2010,At the end of primary education,Mathematics,.,,,
2011,At the end of primary education,Mathematics,,,,97.0
2012,At the end of primary education,Mathematics,.,,,
2013,At the end of primary education,Mathematics,.,,,
2014,At the end of primary education,Mathematics,.,,,
2015,At the end of primary education,Mathematics,,,,96.0
2016,At the end of primary education,Mathematics,.,,,
2017,At the end of primary education,Mathematics,.,,,
2018,At the end of primary education,Mathematics,.,,,
2019,At the end of primary education,Mathematics,,,,96.0
2020,At the end of primary education,Mathematics,.,,,
2021,At the end of primary education,Mathematics,.,,,
2022,At the end of primary education,Mathematics,.,,,
2023,At the end of primary education,Mathematics,,,,94.0
2010,At the end of lower secondary education,Reading,.,,,
2011,At the end of lower secondary education,Reading,.,,,
2012,At the end of lower secondary education,Reading,,,,85.6
2013,At the end of lower secondary education,Reading,.,,,
2014,At the end of lower secondary education,Reading,.,,,
2015,At the end of lower secondary education,Reading,,,,83.7
2016,At the end of lower secondary education,Reading,.,,,
2017,At the end of lower secondary education,Reading,.,,,
2018,At the end of lower secondary education,Reading,,,,79.3
2019,At the end of lower secondary education,Reading,.,,,
2020,At the end of lower secondary education,Reading,.,,,
2021,At the end of lower secondary education,Reading,.,,,
2022,At the end of lower secondary education,Reading,,,,74.4
2023,At the end of lower secondary education,Reading,…,,,
2010,At the end of lower secondary education,Mathematics,.,,,
2011,At the end of lower secondary education,Mathematics,.,,,
2012,At the end of lower secondary education,Mathematics,,,,82.3
2013,At the end of lower secondary education,Mathematics,.,,,
2014,At the end of lower secondary education,Mathematics,.,,,
2015,At the end of lower secondary education,Mathematics,,,,82.8
2016,At the end of lower secondary education,Mathematics,.,,,
2017,At the end of lower secondary education,Mathematics,.,,,
2018,At the end of lower secondary education,Mathematics,,,,78.9
2019,At the end of lower secondary education,Mathematics,.,,,
2020,At the end of lower secondary education,Mathematics,.,,,
2021,At the end of lower secondary education,Mathematics,.,,,
2022,At the end of lower secondary education,Mathematics,,,,70.5
2023,At the end of lower secondary education,Mathematics,…,,,
