Year,Units,Level of fine particulate matter,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Micrograms per m³,PM₁₀,,,,Population weighted annual mean levels of fine particulate matter,19.5
2011,Micrograms per m³,PM₁₀,,,,Population weighted annual mean levels of fine particulate matter,19.4
2012,Micrograms per m³,PM₁₀,,,,Population weighted annual mean levels of fine particulate matter,16.8
2013,Micrograms per m³,PM₁₀,,,,Population weighted annual mean levels of fine particulate matter,17.5
2014,Micrograms per m³,PM₁₀,,,,Population weighted annual mean levels of fine particulate matter,17.0
2015,Micrograms per m³,PM₁₀,,,,Population weighted annual mean levels of fine particulate matter,15.8
2016,Micrograms per m³,PM₁₀,,,,Population weighted annual mean levels of fine particulate matter,15.3
2017,Micrograms per m³,PM₁₀,,,,Population weighted annual mean levels of fine particulate matter,14.4
2018,Micrograms per m³,PM₁₀,,,,Population weighted annual mean levels of fine particulate matter,15.4
2019,Micrograms per m³,PM₁₀,,,,Population weighted annual mean levels of fine particulate matter,13.2
2020,Micrograms per m³,PM₁₀,,,,Population weighted annual mean levels of fine particulate matter,12.3
2021,Micrograms per m³,PM₁₀,,,,Population weighted annual mean levels of fine particulate matter,13.0
2022,Micrograms per m³,PM₁₀,,,,Population weighted annual mean levels of fine particulate matter,13.2
2023,Micrograms per m³,PM₁₀,,,,Population weighted annual mean levels of fine particulate matter,11.3
