Year,Units,Income considered,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2020,Gini coefficient,Equivalised market income (gross income without social transfers),,,,Gini coefficients,40.9
2021,Gini coefficient,Equivalised market income (gross income without social transfers),,,,Gini coefficients,45.5
2022,Gini coefficient,Equivalised market income (gross income without social transfers),,,,Gini coefficients,46.0
2023,Gini coefficient,Equivalised market income (gross income without social transfers),,,,Gini coefficients,46.1
2024,Gini coefficient,Equivalised market income (gross income without social transfers),,,,Gini coefficients,47.7
2025,Gini coefficient,Equivalised market income (gross income without social transfers),,,,Gini coefficients,41.3
2020,Gini coefficient,Equivalised disposable income (net income including social transfers),,,,Gini coefficients,30.5
2021,Gini coefficient,Equivalised disposable income (net income including social transfers),,,,Gini coefficients,31.2
2022,Gini coefficient,Equivalised disposable income (net income including social transfers),,,,Gini coefficients,29.0
2023,Gini coefficient,Equivalised disposable income (net income including social transfers),,,,Gini coefficients,29.4
2024,Gini coefficient,Equivalised disposable income (net income including social transfers),,,,Gini coefficients,29.5
2025,Gini coefficient,Equivalised disposable income (net income including social transfers),,,,Gini coefficients,30.1
