Year,Series,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Population who felt discriminated in their contacts with public services in the last two years,Percentage,.,,,
2011,Population who felt discriminated in their contacts with public services in the last two years,Percentage,.,,,
2012,Population who felt discriminated in their contacts with public services in the last two years,Percentage,.,,,
2013,Population who felt discriminated in their contacts with public services in the last two years,Percentage,.,,,
2014,Population who felt discriminated in their contacts with public services in the last two years,Percentage,.,,,
2015,Population who felt discriminated in their contacts with public services in the last two years,Percentage,,,,13.0
2016,Population who felt discriminated in their contacts with public services in the last two years,Percentage,.,,,
2017,Population who felt discriminated in their contacts with public services in the last two years,Percentage,,,,10.0
2018,Population who felt discriminated in their contacts with public services in the last two years,Percentage,.,,,
2019,Population who felt discriminated in their contacts with public services in the last two years,Percentage,,,,9.0
2020,Population who felt discriminated in their contacts with public services in the last two years,Percentage,.,,,
2021,Population who felt discriminated in their contacts with public services in the last two years,Percentage,,,,8.0
2022,Population who felt discriminated in their contacts with public services in the last two years,Percentage,.,,,
2023,Population who felt discriminated in their contacts with public services in the last two years,Percentage,,,,11.0
2010,Female victims of sexual violence by an intimate partner,Number,.,,,
2011,Female victims of sexual violence by an intimate partner,Number,.,,,
2012,Female victims of sexual violence by an intimate partner,Number,.,,,
2013,Female victims of sexual violence by an intimate partner,Number,.,,,
2014,Female victims of sexual violence by an intimate partner,Number,.,,,
2015,Female victims of sexual violence by an intimate partner,Number,.,,,
2016,Female victims of sexual violence by an intimate partner,Number,.,,,
2017,Female victims of sexual violence by an intimate partner,Number,.,,,
2018,Female victims of sexual violence by an intimate partner,Number,r,,,3331.0
2019,Female victims of sexual violence by an intimate partner,Number,r,,,3259.0
2020,Female victims of sexual violence by an intimate partner,Number,r,,,3578.0
2021,Female victims of sexual violence by an intimate partner,Number,r,,,3817.0
2022,Female victims of sexual violence by an intimate partner,Number,r,,,4227.0
2023,Female victims of sexual violence by an intimate partner,Number,r,,,4521.0
2024,Female victims of sexual violence by an intimate partner,Number,,,,4994.0
2010,Female victims of sexual violence by an intimate partner,"Per 100,000 female inhabitants",.,,,
2011,Female victims of sexual violence by an intimate partner,"Per 100,000 female inhabitants",.,,,
2012,Female victims of sexual violence by an intimate partner,"Per 100,000 female inhabitants",.,,,
2013,Female victims of sexual violence by an intimate partner,"Per 100,000 female inhabitants",.,,,
2014,Female victims of sexual violence by an intimate partner,"Per 100,000 female inhabitants",.,,,
2015,Female victims of sexual violence by an intimate partner,"Per 100,000 female inhabitants",.,,,
2016,Female victims of sexual violence by an intimate partner,"Per 100,000 female inhabitants",.,,,
2017,Female victims of sexual violence by an intimate partner,"Per 100,000 female inhabitants",.,,,
2018,Female victims of sexual violence by an intimate partner,"Per 100,000 female inhabitants",r,,,9.19
2019,Female victims of sexual violence by an intimate partner,"Per 100,000 female inhabitants",r,,,8.99
2020,Female victims of sexual violence by an intimate partner,"Per 100,000 female inhabitants",r,,,9.88
2021,Female victims of sexual violence by an intimate partner,"Per 100,000 female inhabitants",r,,,10.57
2022,Female victims of sexual violence by an intimate partner,"Per 100,000 female inhabitants",r,,,11.73
2023,Female victims of sexual violence by an intimate partner,"Per 100,000 female inhabitants",r,,,12.37
2024,Female victims of sexual violence by an intimate partner,"Per 100,000 female inhabitants",,,,13.64
2010,Female victims of sexual violence by an intimate partner,Percentage,.,,,
2011,Female victims of sexual violence by an intimate partner,Percentage,.,,,
2012,Female victims of sexual violence by an intimate partner,Percentage,.,,,
2013,Female victims of sexual violence by an intimate partner,Percentage,.,,,
2014,Female victims of sexual violence by an intimate partner,Percentage,.,,,
2015,Female victims of sexual violence by an intimate partner,Percentage,.,,,
2016,Female victims of sexual violence by an intimate partner,Percentage,.,,,
2017,Female victims of sexual violence by an intimate partner,Percentage,.,,,
2018,Female victims of sexual violence by an intimate partner,Percentage,,,,0.01
2019,Female victims of sexual violence by an intimate partner,Percentage,,,,0.01
2020,Female victims of sexual violence by an intimate partner,Percentage,,,,0.01
2021,Female victims of sexual violence by an intimate partner,Percentage,,,,0.01
2022,Female victims of sexual violence by an intimate partner,Percentage,,,,0.01
2023,Female victims of sexual violence by an intimate partner,Percentage,,,,0.01
2024,Female victims of sexual violence by an intimate partner,Percentage,,,,0.01
