Year,Educational level,Type of ICT skill,Subject,Age group,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2011,At the end of primary education,,Reading,,,,,Children and youths with a minimum proficiency in reading or mathematics,98.0
2016,At the end of primary education,,Reading,,,,,Children and youths with a minimum proficiency in reading or mathematics,95.0
2021,At the end of primary education,,Reading,,,,,Children and youths with a minimum proficiency in reading or mathematics,94.0
2010,At the end of primary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2011,At the end of primary education,,Mathematics,,,,,Children and youths with a minimum proficiency in reading or mathematics,97.0
2012,At the end of primary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2013,At the end of primary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2014,At the end of primary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2015,At the end of primary education,,Mathematics,,,,,Children and youths with a minimum proficiency in reading or mathematics,96.0
2016,At the end of primary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2017,At the end of primary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2018,At the end of primary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2019,At the end of primary education,,Mathematics,,,,,Children and youths with a minimum proficiency in reading or mathematics,96.0
2020,At the end of primary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2021,At the end of primary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2022,At the end of primary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2023,At the end of primary education,,Mathematics,,,,,Children and youths with a minimum proficiency in reading or mathematics,94.0
2010,At the end of lower secondary education,,Reading,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2011,At the end of lower secondary education,,Reading,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2012,At the end of lower secondary education,,Reading,,,,,Children and youths with a minimum proficiency in reading or mathematics,85.6
2013,At the end of lower secondary education,,Reading,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2014,At the end of lower secondary education,,Reading,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2015,At the end of lower secondary education,,Reading,,,,,Children and youths with a minimum proficiency in reading or mathematics,83.7
2016,At the end of lower secondary education,,Reading,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2017,At the end of lower secondary education,,Reading,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2018,At the end of lower secondary education,,Reading,,,,,Children and youths with a minimum proficiency in reading or mathematics,79.3
2019,At the end of lower secondary education,,Reading,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2020,At the end of lower secondary education,,Reading,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2021,At the end of lower secondary education,,Reading,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2022,At the end of lower secondary education,,Reading,,,,,Children and youths with a minimum proficiency in reading or mathematics,74.4
2010,At the end of lower secondary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2011,At the end of lower secondary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2012,At the end of lower secondary education,,Mathematics,,,,,Children and youths with a minimum proficiency in reading or mathematics,82.3
2013,At the end of lower secondary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2014,At the end of lower secondary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2015,At the end of lower secondary education,,Mathematics,,,,,Children and youths with a minimum proficiency in reading or mathematics,82.8
2016,At the end of lower secondary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2017,At the end of lower secondary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2018,At the end of lower secondary education,,Mathematics,,,,,Children and youths with a minimum proficiency in reading or mathematics,78.9
2019,At the end of lower secondary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2020,At the end of lower secondary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2021,At the end of lower secondary education,,Mathematics,,.,,,Children and youths with a minimum proficiency in reading or mathematics,
2022,At the end of lower secondary education,,Mathematics,,,,,Children and youths with a minimum proficiency in reading or mathematics,70.5
2010,,Copying or moving of files and folders,,16 to under 25 years,.,,,Population with computer-related activities,
2011,,Copying or moving of files and folders,,16 to under 25 years,,,,Population with computer-related activities,94.0
2012,,Copying or moving of files and folders,,16 to under 25 years,,,,Population with computer-related activities,87.0
2013,,Copying or moving of files and folders,,16 to under 25 years,.,,,Population with computer-related activities,
2014,,Copying or moving of files and folders,,16 to under 25 years,,,,Population with computer-related activities,94.0
2015,,Copying or moving of files and folders,,16 to under 25 years,,,,Population with computer-related activities,87.0
2016,,Copying or moving of files and folders,,16 to under 25 years,,,,Population with computer-related activities,86.0
2017,,Copying or moving of files and folders,,16 to under 25 years,,,,Population with computer-related activities,84.0
2018,,Copying or moving of files and folders,,16 to under 25 years,.,,,Population with computer-related activities,
2019,,Copying or moving of files and folders,,16 to under 25 years,,,,Population with computer-related activities,82.0
2011,,Using copy or cut and paste tools to duplicate or move information on screen,,16 to under 25 years,,,,Population with computer-related activities,92.0
2012,,Using copy or cut and paste tools to duplicate or move information on screen,,16 to under 25 years,,,,Population with computer-related activities,85.0
2014,,Using copy or cut and paste tools to duplicate or move information on screen,,16 to under 25 years,,,,Population with computer-related activities,93.0
2010,,Writing code in a programming language,,16 to under 25 years,.,,,Population with computer-related activities,
2011,,Writing code in a programming language,,16 to under 25 years,.,,,Population with computer-related activities,
2012,,Writing code in a programming language,,16 to under 25 years,.,,,Population with computer-related activities,
2013,,Writing code in a programming language,,16 to under 25 years,.,,,Population with computer-related activities,
2014,,Writing code in a programming language,,16 to under 25 years,.,,,Population with computer-related activities,
2015,,Writing code in a programming language,,16 to under 25 years,,,,Population with computer-related activities,12.0
2016,,Writing code in a programming language,,16 to under 25 years,,,,Population with computer-related activities,13.0
2017,,Writing code in a programming language,,16 to under 25 years,,,,Population with computer-related activities,12.0
2018,,Writing code in a programming language,,16 to under 25 years,.,,,Population with computer-related activities,
2019,,Writing code in a programming language,,16 to under 25 years,,,,Population with computer-related activities,14.0
2020,,Writing code in a programming language,,16 to under 25 years,.,,,Population with computer-related activities,
2021,,Writing code in a programming language,,16 to under 25 years,|,,,Population with computer-related activities,10.1
2022,,Writing code in a programming language,,16 to under 25 years,.,,,Population with computer-related activities,
2023,,Writing code in a programming language,,16 to under 25 years,,,,Population with computer-related activities,9.5
2024,,Writing code in a programming language,,16 to under 25 years,.,,,Population with computer-related activities,
2025,,Writing code in a programming language,,16 to under 25 years,,,,Population with computer-related activities,9.6
2011,,"Connecting and installing new devices, eg a printer or a modem",,16 to under 25 years,,,,Population with computer-related activities,62.0
2012,,"Connecting and installing new devices, eg a printer or a modem",,16 to under 25 years,,,,Population with computer-related activities,57.0
2014,,"Connecting and installing new devices, eg a printer or a modem",,16 to under 25 years,,,,Population with computer-related activities,62.0
2010,,Transferring files between computer and other devices,,16 to under 25 years,.,,,Population with computer-related activities,
2011,,Transferring files between computer and other devices,,16 to under 25 years,,,,Population with computer-related activities,92.0
2012,,Transferring files between computer and other devices,,16 to under 25 years,,,,Population with computer-related activities,88.0
2013,,Transferring files between computer and other devices,,16 to under 25 years,.,,,Population with computer-related activities,
2014,,Transferring files between computer and other devices,,16 to under 25 years,,,,Population with computer-related activities,91.0
2015,,Transferring files between computer and other devices,,16 to under 25 years,,,,Population with computer-related activities,86.0
2016,,Transferring files between computer and other devices,,16 to under 25 years,,,,Population with computer-related activities,85.0
2017,,Transferring files between computer and other devices,,16 to under 25 years,,,,Population with computer-related activities,83.0
