Year,Units,Series,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
,life satisfaction,,,,,7,3.0
,life satisfaction,,,,,7,4.0
,life satisfaction,,,,,6,5.0
,life satisfaction,,,,,7,
,life satisfaction,,,,,7,
,life satisfaction,,,,,7,
,life satisfaction,Female,,,,7,2.0
,life satisfaction,Female,,,,7,3.0
,life satisfaction,Female,,,,6,6.0
,life satisfaction,Female,,,,7,
,life satisfaction,Female,,,,7,
,life satisfaction,Female,,,,7,
,life satisfaction,Male,,,,7,3.0
,life satisfaction,Male,,,,7,4.0
,life satisfaction,Male,,,,6,5.0
,life satisfaction,Male,,,,7,
,life satisfaction,Male,,,,7,
,life satisfaction,Male,,,,7,
