Year,Units,Sice of particulate matter,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Micrograms per m³,PM₁₀,,,,Level of fine particulate matter,19.5
2011,Micrograms per m³,PM₁₀,,,,Level of fine particulate matter,19.4
2012,Micrograms per m³,PM₁₀,,,,Level of fine particulate matter,16.8
2013,Micrograms per m³,PM₁₀,,,,Level of fine particulate matter,17.5
2014,Micrograms per m³,PM₁₀,,,,Level of fine particulate matter,17.0
2015,Micrograms per m³,PM₁₀,,,,Level of fine particulate matter,15.8
2016,Micrograms per m³,PM₁₀,,,,Level of fine particulate matter,15.3
2017,Micrograms per m³,PM₁₀,,,,Level of fine particulate matter,14.4
2018,Micrograms per m³,PM₁₀,,,,Level of fine particulate matter,15.4
2019,Micrograms per m³,PM₁₀,,,,Level of fine particulate matter,13.2
2020,Micrograms per m³,PM₁₀,,,,Level of fine particulate matter,12.3
2021,Micrograms per m³,PM₁₀,,,,Level of fine particulate matter,13.0
2022,Micrograms per m³,PM₁₀,,,,Level of fine particulate matter,13.2
2023,Micrograms per m³,PM₁₀,,,,Level of fine particulate matter,11.3
2010,Micrograms per m³,PM₂.₅,,,,Level of fine particulate matter,15.9
2011,Micrograms per m³,PM₂.₅,,,,Level of fine particulate matter,15.2
2012,Micrograms per m³,PM₂.₅,,,,Level of fine particulate matter,12.4
2013,Micrograms per m³,PM₂.₅,,,,Level of fine particulate matter,13.2
2014,Micrograms per m³,PM₂.₅,,,,Level of fine particulate matter,13.0
2015,Micrograms per m³,PM₂.₅,,,,Level of fine particulate matter,11.7
2016,Micrograms per m³,PM₂.₅,,,,Level of fine particulate matter,11.4
2017,Micrograms per m³,PM₂.₅,,,,Level of fine particulate matter,10.9
2018,Micrograms per m³,PM₂.₅,,,,Level of fine particulate matter,11.2
2019,Micrograms per m³,PM₂.₅,,,,Level of fine particulate matter,9.4
2020,Micrograms per m³,PM₂.₅,,,,Level of fine particulate matter,8.8
2021,Micrograms per m³,PM₂.₅,,,,Level of fine particulate matter,9.3
2022,Micrograms per m³,PM₂.₅,,,,Level of fine particulate matter,8.6
2023,Micrograms per m³,PM₂.₅,,,,Level of fine particulate matter,7.3
2010,Percentage,,,,,Population with safely managed drinking water services,99.3
2011,Percentage,,.,,,Population with safely managed drinking water services,
2012,Percentage,,.,,,Population with safely managed drinking water services,
2013,Percentage,,,,,Population with safely managed drinking water services,99.3
2014,Percentage,,.,,,Population with safely managed drinking water services,
2015,Percentage,,.,,,Population with safely managed drinking water services,
2016,Percentage,,,,,Population with safely managed drinking water services,99.4
2017,Percentage,,.,,,Population with safely managed drinking water services,
2018,Percentage,,.,,,Population with safely managed drinking water services,
2019,Percentage,,,,,Population with safely managed drinking water services,99.4
2020,Percentage,,.,,,Population with safely managed drinking water services,
2021,Percentage,,.,,,Population with safely managed drinking water services,
2022,Percentage,,,,,Population with safely managed drinking water services,99.5
