Year,Value,Units,Series,GeoCode
2010,930.2,Million tonnes of CO₂ equivalents,Total greenhouse gas emissions,
2011,906.7,Million tonnes of CO₂ equivalents,Total greenhouse gas emissions,
2012,917.0,Million tonnes of CO₂ equivalents,Total greenhouse gas emissions,
2013,934.0,Million tonnes of CO₂ equivalents,Total greenhouse gas emissions,
2014,893.5,Million tonnes of CO₂ equivalents,Total greenhouse gas emissions,
2015,901.8,Million tonnes of CO₂ equivalents,Total greenhouse gas emissions,
2016,897.3,Million tonnes of CO₂ equivalents,Total greenhouse gas emissions,
2017,882.2,Million tonnes of CO₂ equivalents,Total greenhouse gas emissions,
2018,852.9,Million tonnes of CO₂ equivalents,Total greenhouse gas emissions,
2019,798.0,Million tonnes of CO₂ equivalents,Total greenhouse gas emissions,
2020,733.0,Million tonnes of CO₂ equivalents,Total greenhouse gas emissions,
2021,761.4,Million tonnes of CO₂ equivalents,Total greenhouse gas emissions,
2022,748.8,Million tonnes of CO₂ equivalents,Total greenhouse gas emissions,
2023,672.0,Million tonnes of CO₂ equivalents,Total greenhouse gas emissions,
2024,649.1,Million tonnes of CO₂ equivalents,Total greenhouse gas emissions,
2010,,,Biodiversity intactness indx,
2011,,,Biodiversity intactness indx,
2012,,,Biodiversity intactness indx,
2013,,,Biodiversity intactness indx,
2014,,,Biodiversity intactness indx,
2015,,,Biodiversity intactness indx,
2016,,,Biodiversity intactness indx,
2017,,,Biodiversity intactness indx,
2018,,,Biodiversity intactness indx,
2019,,,Biodiversity intactness indx,
2020,,,Biodiversity intactness indx,
2021,,,Biodiversity intactness indx,
2022,,,Biodiversity intactness indx,
2023,,,Biodiversity intactness indx,
2024,,,Biodiversity intactness indx,
