Year,Value,Units,Series
2010,58.3,Years,Healthy life expectancy at birth
2011,58.2,Years,Healthy life expectancy at birth
2012,57.6,Years,Healthy life expectancy at birth
2013,57.4,Years,Healthy life expectancy at birth
2014,56.5,Years,Healthy life expectancy at birth
2016,66.4,Years,Healthy life expectancy at birth
2017,66.0,Years,Healthy life expectancy at birth
2018,65.8,Years,Healthy life expectancy at birth
2019,66.3,Years,Healthy life expectancy at birth
2021,65.6,Years,Healthy life expectancy at birth
2024,62.4,Years,Healthy life expectancy at birth
2010,6.9,Percentage,Low-birthweight babies
2011,6.9,Percentage,Low-birthweight babies
2012,6.9,Percentage,Low-birthweight babies
2013,6.6,Percentage,Low-birthweight babies
