Year,Series,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,population who felt discriminated in their contacts with public services in the last two years,percentage,.,,,
2011,population who felt discriminated in their contacts with public services in the last two years,percentage,.,,,
2012,population who felt discriminated in their contacts with public services in the last two years,percentage,.,,,
2013,population who felt discriminated in their contacts with public services in the last two years,percentage,.,,,
2014,population who felt discriminated in their contacts with public services in the last two years,percentage,.,,,
2015,population who felt discriminated in their contacts with public services in the last two years,percentage,,,,13.0
2016,population who felt discriminated in their contacts with public services in the last two years,percentage,.,,,
2017,population who felt discriminated in their contacts with public services in the last two years,percentage,,,,10.0
2018,population who felt discriminated in their contacts with public services in the last two years,percentage,.,,,
2019,population who felt discriminated in their contacts with public services in the last two years,percentage,,,,9.0
2020,population who felt discriminated in their contacts with public services in the last two years,percentage,.,,,
2021,population who felt discriminated in their contacts with public services in the last two years,percentage,,,,8.0
2022,population who felt discriminated in their contacts with public services in the last two years,percentage,.,,,
2023,population who felt discriminated in their contacts with public services in the last two years,percentage,,,,11.0
2010,female victims of sexual violence by an intimate partner,number,.,,,
2011,female victims of sexual violence by an intimate partner,number,.,,,
2012,female victims of sexual violence by an intimate partner,number,.,,,
2013,female victims of sexual violence by an intimate partner,number,.,,,
2014,female victims of sexual violence by an intimate partner,number,.,,,
2015,female victims of sexual violence by an intimate partner,number,.,,,
2016,female victims of sexual violence by an intimate partner,number,.,,,
2017,female victims of sexual violence by an intimate partner,number,.,,,
2018,female victims of sexual violence by an intimate partner,number,r,,,3331.0
2019,female victims of sexual violence by an intimate partner,number,r,,,3259.0
2020,female victims of sexual violence by an intimate partner,number,r,,,3578.0
2021,female victims of sexual violence by an intimate partner,number,r,,,3817.0
2022,female victims of sexual violence by an intimate partner,number,r,,,4227.0
2023,female victims of sexual violence by an intimate partner,number,r,,,4521.0
2024,female victims of sexual violence by an intimate partner,number,,,,4994.0
2025,female victims of sexual violence by an intimate partner,number,,,,5694.0
2010,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",.,,,
2011,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",.,,,
2012,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",.,,,
2013,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",.,,,
2014,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",.,,,
2015,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",.,,,
2016,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",.,,,
2017,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",.,,,
2018,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",r,,,9.19
2019,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",r,,,9.0
2020,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",r,,,9.91
2021,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",r,,,10.59
2022,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",r,,,11.57
2023,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",r,,,12.34
2024,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",r,,,13.62
2025,female victims of sexual violence by an intimate partner,"per 100,000 female inhabitants",,,,15.53
2010,female victims of sexual violence by an intimate partner,percentage,.,,,
2011,female victims of sexual violence by an intimate partner,percentage,.,,,
2012,female victims of sexual violence by an intimate partner,percentage,.,,,
2013,female victims of sexual violence by an intimate partner,percentage,.,,,
2014,female victims of sexual violence by an intimate partner,percentage,.,,,
2015,female victims of sexual violence by an intimate partner,percentage,.,,,
2016,female victims of sexual violence by an intimate partner,percentage,.,,,
2017,female victims of sexual violence by an intimate partner,percentage,.,,,
2018,female victims of sexual violence by an intimate partner,percentage,,,,0.009
2019,female victims of sexual violence by an intimate partner,percentage,,,,0.009
2020,female victims of sexual violence by an intimate partner,percentage,,,,0.01
2021,female victims of sexual violence by an intimate partner,percentage,,,,0.011
2022,female victims of sexual violence by an intimate partner,percentage,,,,0.012
2023,female victims of sexual violence by an intimate partner,percentage,,,,0.012
2024,female victims of sexual violence by an intimate partner,percentage,,,,0.014
2025,female victims of sexual violence by an intimate partner,percentage,,,,0.016
