Year,Units,Series,type of unpaid work,degree of urbanisation,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,,,,,,,12.4
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,,,,,,,12.6
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,urban,,,,,,12.3
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,urban,,,,,,12.6
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,rural areas,,,,,,12.6
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,rural areas,,,,,,12.9
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,,15 years and older,,,,,12.8
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,,15 years and older,,,,,13.1
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,,15 to under 25 years,,,,,5.4
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,,15 to under 25 years,,,,,5.7
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,,25 to under 45 years,,,,,13.6
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,,25 to under 45 years,,,,,13.9
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,,45 to under 55 years,,,,,13.0
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,,45 to under 55 years,,,,,13.0
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,,55 to under 65 years,,,,,13.5
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,,55 to under 65 years,,,,,13.2
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,,65 years and older,,,,,15.5
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,,65 years and older,,,,,15.3
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,,,female,,,,15.2
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,,,female,,,,15.1
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,,,male,,,,9.6
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,,,male,,,,10.1
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,urban,,female,,,,15.1
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,urban,,female,,,,15.1
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,rural areas,,female,,,,15.5
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,rural areas,,female,,,,15.4
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,,15 years and older,female,,,,15.7
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,,15 years and older,female,,,,15.7
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,,15 to under 25 years,female,,,,6.8
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,,15 to under 25 years,female,,,,7.1
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,,25 to under 45 years,female,,,,17.8
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,,25 to under 45 years,female,,,,17.6
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,,45 to under 55 years,female,,,,15.8
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,,45 to under 55 years,female,,,,15.7
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,,55 to under 65 years,female,,,,16.0
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,,55 to under 65 years,female,,,,15.4
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,,65 years and older,female,,,,17.5
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,,65 years and older,female,,,,16.7
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,urban,,male,,,,9.6
2022,percentage,time spent on unpaid domestic and care work,domestic and care work,urban,,male,,,,10.1
2013,percentage,time spent on unpaid domestic and care work,domestic and care work,rural areas,,male,,,,9.8
