Year,Series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,healthy life expectancy at birth,,,,1
2011,healthy life expectancy at birth,,,,1
2012,healthy life expectancy at birth,,,,1
2013,healthy life expectancy at birth,,,,1
2014,healthy life expectancy at birth,,,,1
2015,healthy life expectancy at birth,,,,1
2016,healthy life expectancy at birth,,,,1
2017,healthy life expectancy at birth,,,,1
2018,healthy life expectancy at birth,,,,1
2019,healthy life expectancy at birth,,,,1
2020,healthy life expectancy at birth,,,,1
2021,healthy life expectancy at birth,,,,1
2022,healthy life expectancy at birth,,,,1
2023,healthy life expectancy at birth,,,,1
2024,healthy life expectancy at birth,,,,1
2010,low-birthweight babies (percentage of births),,,,1
2011,low-birthweight babies (percentage of births),,,,1
2012,low-birthweight babies (percentage of births),,,,1
2013,low-birthweight babies (percentage of births),,,,1
2014,low-birthweight babies (percentage of births),,,,1
2015,low-birthweight babies (percentage of births),,,,1
2016,low-birthweight babies (percentage of births),,,,1
2017,low-birthweight babies (percentage of births),,,,1
2018,low-birthweight babies (percentage of births),,,,1
2019,low-birthweight babies (percentage of births),,,,1
2020,low-birthweight babies (percentage of births),,,,1
2021,low-birthweight babies (percentage of births),,,,1
2022,low-birthweight babies (percentage of births),,,,1
2023,low-birthweight babies (percentage of births),,,,1
2024,low-birthweight babies (percentage of births),,,,1
