Year,educational level,type of ict skill,subject,age group,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2011,(b) at the end of primary education,,reading,,,,,children and youths with a minimum proficiency in reading or mathematics,98.0
2016,(b) at the end of primary education,,reading,,,,,children and youths with a minimum proficiency in reading or mathematics,95.0
2021,(b) at the end of primary education,,reading,,,,,children and youths with a minimum proficiency in reading or mathematics,94.0
2010,(b) at the end of primary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2011,(b) at the end of primary education,,mathematics,,,,,children and youths with a minimum proficiency in reading or mathematics,97.0
2012,(b) at the end of primary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2013,(b) at the end of primary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2014,(b) at the end of primary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2015,(b) at the end of primary education,,mathematics,,,,,children and youths with a minimum proficiency in reading or mathematics,96.0
2016,(b) at the end of primary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2017,(b) at the end of primary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2018,(b) at the end of primary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2019,(b) at the end of primary education,,mathematics,,,,,children and youths with a minimum proficiency in reading or mathematics,96.0
2020,(b) at the end of primary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2021,(b) at the end of primary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2022,(b) at the end of primary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2023,(b) at the end of primary education,,mathematics,,,,,children and youths with a minimum proficiency in reading or mathematics,94.0
2010,(c) at the end of lower secondary education,,reading,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2011,(c) at the end of lower secondary education,,reading,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2012,(c) at the end of lower secondary education,,reading,,,,,children and youths with a minimum proficiency in reading or mathematics,85.6
2013,(c) at the end of lower secondary education,,reading,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2014,(c) at the end of lower secondary education,,reading,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2015,(c) at the end of lower secondary education,,reading,,,,,children and youths with a minimum proficiency in reading or mathematics,83.7
2016,(c) at the end of lower secondary education,,reading,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2017,(c) at the end of lower secondary education,,reading,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2018,(c) at the end of lower secondary education,,reading,,,,,children and youths with a minimum proficiency in reading or mathematics,79.3
2019,(c) at the end of lower secondary education,,reading,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2020,(c) at the end of lower secondary education,,reading,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2021,(c) at the end of lower secondary education,,reading,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2022,(c) at the end of lower secondary education,,reading,,,,,children and youths with a minimum proficiency in reading or mathematics,74.4
2010,(c) at the end of lower secondary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2011,(c) at the end of lower secondary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2012,(c) at the end of lower secondary education,,mathematics,,,,,children and youths with a minimum proficiency in reading or mathematics,82.3
2013,(c) at the end of lower secondary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2014,(c) at the end of lower secondary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2015,(c) at the end of lower secondary education,,mathematics,,,,,children and youths with a minimum proficiency in reading or mathematics,82.8
2016,(c) at the end of lower secondary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2017,(c) at the end of lower secondary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2018,(c) at the end of lower secondary education,,mathematics,,,,,children and youths with a minimum proficiency in reading or mathematics,78.9
2019,(c) at the end of lower secondary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2020,(c) at the end of lower secondary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2021,(c) at the end of lower secondary education,,mathematics,,.,,,children and youths with a minimum proficiency in reading or mathematics,
2022,(c) at the end of lower secondary education,,mathematics,,,,,children and youths with a minimum proficiency in reading or mathematics,70.5
2010,,copying or moving of files and folders,,16 to under 25 years,.,,,population with computer-related activities,
2011,,copying or moving of files and folders,,16 to under 25 years,,,,population with computer-related activities,94.0
2012,,copying or moving of files and folders,,16 to under 25 years,,,,population with computer-related activities,87.0
2013,,copying or moving of files and folders,,16 to under 25 years,.,,,population with computer-related activities,
2014,,copying or moving of files and folders,,16 to under 25 years,,,,population with computer-related activities,94.0
2015,,copying or moving of files and folders,,16 to under 25 years,,,,population with computer-related activities,87.0
2016,,copying or moving of files and folders,,16 to under 25 years,,,,population with computer-related activities,86.0
2017,,copying or moving of files and folders,,16 to under 25 years,,,,population with computer-related activities,84.0
2018,,copying or moving of files and folders,,16 to under 25 years,.,,,population with computer-related activities,
2019,,copying or moving of files and folders,,16 to under 25 years,,,,population with computer-related activities,82.0
2011,,using copy or cut and paste tools to duplicate or move information on screen,,16 to under 25 years,,,,population with computer-related activities,92.0
2012,,using copy or cut and paste tools to duplicate or move information on screen,,16 to under 25 years,,,,population with computer-related activities,85.0
2014,,using copy or cut and paste tools to duplicate or move information on screen,,16 to under 25 years,,,,population with computer-related activities,93.0
2010,,writing code in a programming language,,16 to under 25 years,.,,,population with computer-related activities,
2011,,writing code in a programming language,,16 to under 25 years,.,,,population with computer-related activities,
2012,,writing code in a programming language,,16 to under 25 years,.,,,population with computer-related activities,
2013,,writing code in a programming language,,16 to under 25 years,.,,,population with computer-related activities,
2014,,writing code in a programming language,,16 to under 25 years,.,,,population with computer-related activities,
2015,,writing code in a programming language,,16 to under 25 years,,,,population with computer-related activities,12.0
2016,,writing code in a programming language,,16 to under 25 years,,,,population with computer-related activities,13.0
2017,,writing code in a programming language,,16 to under 25 years,,,,population with computer-related activities,12.0
2018,,writing code in a programming language,,16 to under 25 years,.,,,population with computer-related activities,
2019,,writing code in a programming language,,16 to under 25 years,,,,population with computer-related activities,14.0
2020,,writing code in a programming language,,16 to under 25 years,.,,,population with computer-related activities,
2021,,writing code in a programming language,,16 to under 25 years,|,,,population with computer-related activities,10.1
2022,,writing code in a programming language,,16 to under 25 years,.,,,population with computer-related activities,
2023,,writing code in a programming language,,16 to under 25 years,,,,population with computer-related activities,9.5
2024,,writing code in a programming language,,16 to under 25 years,.,,,population with computer-related activities,
2025,,writing code in a programming language,,16 to under 25 years,,,,population with computer-related activities,9.6
2011,,"connecting and installing new devices, eg a printer or a modem",,16 to under 25 years,,,,population with computer-related activities,62.0
2012,,"connecting and installing new devices, eg a printer or a modem",,16 to under 25 years,,,,population with computer-related activities,57.0
2014,,"connecting and installing new devices, eg a printer or a modem",,16 to under 25 years,,,,population with computer-related activities,62.0
2010,,transferring files between computer and other devices,,16 to under 25 years,.,,,population with computer-related activities,
2011,,transferring files between computer and other devices,,16 to under 25 years,,,,population with computer-related activities,92.0
2012,,transferring files between computer and other devices,,16 to under 25 years,,,,population with computer-related activities,88.0
2013,,transferring files between computer and other devices,,16 to under 25 years,.,,,population with computer-related activities,
2014,,transferring files between computer and other devices,,16 to under 25 years,,,,population with computer-related activities,91.0
2015,,transferring files between computer and other devices,,16 to under 25 years,,,,population with computer-related activities,86.0
2016,,transferring files between computer and other devices,,16 to under 25 years,,,,population with computer-related activities,85.0
2017,,transferring files between computer and other devices,,16 to under 25 years,,,,population with computer-related activities,83.0
2018,,transferring files between computer and other devices,,16 to under 25 years,.,,,population with computer-related activities,
2019,,transferring files between computer and other devices,,16 to under 25 years,,,,population with computer-related activities,80.0
2020,,transferring files between computer and other devices,,16 to under 25 years,.,,,population with computer-related activities,
2021,,transferring files between computer and other devices,,16 to under 25 years,|,,,population with computer-related activities,68.2
2022,,transferring files between computer and other devices,,16 to under 25 years,.,,,population with computer-related activities,
2023,,transferring files between computer and other devices,,16 to under 25 years,,,,population with computer-related activities,72.0
2024,,transferring files between computer and other devices,,16 to under 25 years,.,,,population with computer-related activities,
2025,,transferring files between computer and other devices,,16 to under 25 years,,,,population with computer-related activities,67.4
2010,,installing software or apps,,16 to under 25 years,.,,,population with computer-related activities,
2011,,installing software or apps,,16 to under 25 years,.,,,population with computer-related activities,
2012,,installing software or apps,,16 to under 25 years,.,,,population with computer-related activities,
2013,,installing software or apps,,16 to under 25 years,.,,,population with computer-related activities,
2014,,installing software or apps,,16 to under 25 years,.,,,population with computer-related activities,
2015,,installing software or apps,,16 to under 25 years,,,,population with computer-related activities,87.0
2016,,installing software or apps,,16 to under 25 years,,,,population with computer-related activities,89.0
2017,,installing software or apps,,16 to under 25 years,,,,population with computer-related activities,86.0
2018,,installing software or apps,,16 to under 25 years,.,,,population with computer-related activities,
2019,,installing software or apps,,16 to under 25 years,,,,population with computer-related activities,88.0
2020,,installing software or apps,,16 to under 25 years,.,,,population with computer-related activities,
2021,,installing software or apps,,16 to under 25 years,|,,,population with computer-related activities,58.5
2022,,installing software or apps,,16 to under 25 years,.,,,population with computer-related activities,
2023,,installing software or apps,,16 to under 25 years,,,,population with computer-related activities,66.2
2024,,installing software or apps,,16 to under 25 years,.,,,population with computer-related activities,
2025,,installing software or apps,,16 to under 25 years,,,,population with computer-related activities,66.1
2010,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,population with computer-related activities,
2011,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,,,,population with computer-related activities,67.0
2012,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,,,,population with computer-related activities,57.0
2013,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,population with computer-related activities,
2014,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,,,,population with computer-related activities,67.0
2015,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,population with computer-related activities,
2016,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,population with computer-related activities,
2017,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,population with computer-related activities,
2018,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,population with computer-related activities,
2019,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,population with computer-related activities,
2020,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,population with computer-related activities,
2021,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,,,,population with computer-related activities,47.1
2022,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,population with computer-related activities,
2023,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,,,,population with computer-related activities,44.0
2024,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,.,,,population with computer-related activities,
2025,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,16 to under 25 years,,,,population with computer-related activities,44.1
2010,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,.,,,population with computer-related activities,
2011,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,.,,,population with computer-related activities,
2012,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,.,,,population with computer-related activities,
2013,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,.,,,population with computer-related activities,
2014,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,.,,,population with computer-related activities,
2015,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,,,,population with computer-related activities,35.0
2016,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,,,,population with computer-related activities,34.0
2017,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,,,,population with computer-related activities,36.0
2018,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,.,,,population with computer-related activities,
2019,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,,,,population with computer-related activities,34.0
2020,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,.,,,population with computer-related activities,
2021,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,|,,,population with computer-related activities,33.2
2022,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,.,,,population with computer-related activities,
2023,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,,,,population with computer-related activities,29.8
2024,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,.,,,population with computer-related activities,
2025,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,,,,population with computer-related activities,28.2
2010,,copying or moving of files and folders,,25 to under 65 years,.,,,population with computer-related activities,
2011,,copying or moving of files and folders,,25 to under 65 years,,,,population with computer-related activities,76.0
2012,,copying or moving of files and folders,,25 to under 65 years,,,,population with computer-related activities,71.0
2013,,copying or moving of files and folders,,25 to under 65 years,.,,,population with computer-related activities,
2014,,copying or moving of files and folders,,25 to under 65 years,,,,population with computer-related activities,80.0
2015,,copying or moving of files and folders,,25 to under 65 years,,,,population with computer-related activities,72.0
2016,,copying or moving of files and folders,,25 to under 65 years,,,,population with computer-related activities,72.0
2017,,copying or moving of files and folders,,25 to under 65 years,,,,population with computer-related activities,73.0
2018,,copying or moving of files and folders,,25 to under 65 years,.,,,population with computer-related activities,
2019,,copying or moving of files and folders,,25 to under 65 years,,,,population with computer-related activities,75.0
2011,,using copy or cut and paste tools to duplicate or move information on screen,,25 to under 65 years,,,,population with computer-related activities,74.0
2012,,using copy or cut and paste tools to duplicate or move information on screen,,25 to under 65 years,,,,population with computer-related activities,69.0
2014,,using copy or cut and paste tools to duplicate or move information on screen,,25 to under 65 years,,,,population with computer-related activities,77.0
2010,,writing code in a programming language,,25 to under 65 years,.,,,population with computer-related activities,
2011,,writing code in a programming language,,25 to under 65 years,.,,,population with computer-related activities,
2012,,writing code in a programming language,,25 to under 65 years,.,,,population with computer-related activities,
2013,,writing code in a programming language,,25 to under 65 years,.,,,population with computer-related activities,
2014,,writing code in a programming language,,25 to under 65 years,.,,,population with computer-related activities,
2015,,writing code in a programming language,,25 to under 65 years,,,,population with computer-related activities,6.0
2016,,writing code in a programming language,,25 to under 65 years,,,,population with computer-related activities,5.0
2017,,writing code in a programming language,,25 to under 65 years,,,,population with computer-related activities,5.0
2018,,writing code in a programming language,,25 to under 65 years,.,,,population with computer-related activities,
2019,,writing code in a programming language,,25 to under 65 years,,,,population with computer-related activities,5.0
2020,,writing code in a programming language,,25 to under 65 years,.,,,population with computer-related activities,
2021,,writing code in a programming language,,25 to under 65 years,|,,,population with computer-related activities,4.5
2022,,writing code in a programming language,,25 to under 65 years,.,,,population with computer-related activities,
