Year,Units,level of fine particulate matter,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,micrograms per m³,pm10,,,,population weighted annual mean levels of fine particulate matter,19.5
2011,micrograms per m³,pm10,,,,population weighted annual mean levels of fine particulate matter,19.4
2012,micrograms per m³,pm10,,,,population weighted annual mean levels of fine particulate matter,16.8
2013,micrograms per m³,pm10,,,,population weighted annual mean levels of fine particulate matter,17.5
2014,micrograms per m³,pm10,,,,population weighted annual mean levels of fine particulate matter,17.0
2015,micrograms per m³,pm10,,,,population weighted annual mean levels of fine particulate matter,15.8
2016,micrograms per m³,pm10,,,,population weighted annual mean levels of fine particulate matter,15.3
2017,micrograms per m³,pm10,,,,population weighted annual mean levels of fine particulate matter,14.4
2018,micrograms per m³,pm10,,,,population weighted annual mean levels of fine particulate matter,15.4
2019,micrograms per m³,pm10,,,,population weighted annual mean levels of fine particulate matter,13.2
2020,micrograms per m³,pm10,,,,population weighted annual mean levels of fine particulate matter,12.3
2021,micrograms per m³,pm10,,,,population weighted annual mean levels of fine particulate matter,13.0
2022,micrograms per m³,pm10,,,,population weighted annual mean levels of fine particulate matter,13.2
2023,micrograms per m³,pm10,,,,population weighted annual mean levels of fine particulate matter,11.3
2010,micrograms per m³,pm2.5,,,,population weighted annual mean levels of fine particulate matter,15.9
2011,micrograms per m³,pm2.5,,,,population weighted annual mean levels of fine particulate matter,15.2
2012,micrograms per m³,pm2.5,,,,population weighted annual mean levels of fine particulate matter,12.4
2013,micrograms per m³,pm2.5,,,,population weighted annual mean levels of fine particulate matter,13.2
2014,micrograms per m³,pm2.5,,,,population weighted annual mean levels of fine particulate matter,13.0
2015,micrograms per m³,pm2.5,,,,population weighted annual mean levels of fine particulate matter,11.7
2016,micrograms per m³,pm2.5,,,,population weighted annual mean levels of fine particulate matter,11.4
2017,micrograms per m³,pm2.5,,,,population weighted annual mean levels of fine particulate matter,10.9
2018,micrograms per m³,pm2.5,,,,population weighted annual mean levels of fine particulate matter,11.2
2019,micrograms per m³,pm2.5,,,,population weighted annual mean levels of fine particulate matter,9.4
2020,micrograms per m³,pm2.5,,,,population weighted annual mean levels of fine particulate matter,8.8
2021,micrograms per m³,pm2.5,,,,population weighted annual mean levels of fine particulate matter,9.3
2022,micrograms per m³,pm2.5,,,,population weighted annual mean levels of fine particulate matter,8.6
2023,micrograms per m³,pm2.5,,,,population weighted annual mean levels of fine particulate matter,7.3
