Year,Units,income considered,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2020,gini coefficient,equivalised market income (gross income without social transfers),,,,gini coefficients,40.9
2021,gini coefficient,equivalised market income (gross income without social transfers),,,,gini coefficients,45.5
2022,gini coefficient,equivalised market income (gross income without social transfers),,,,gini coefficients,46.0
2023,gini coefficient,equivalised market income (gross income without social transfers),,,,gini coefficients,46.1
2024,gini coefficient,equivalised market income (gross income without social transfers),,,,gini coefficients,47.7
2025,gini coefficient,equivalised market income (gross income without social transfers),,,,gini coefficients,41.3
2020,gini coefficient,equivalised disposable income (net income including social transfers),,,,gini coefficients,30.5
2021,gini coefficient,equivalised disposable income (net income including social transfers),,,,gini coefficients,31.2
2022,gini coefficient,equivalised disposable income (net income including social transfers),,,,gini coefficients,29.0
2023,gini coefficient,equivalised disposable income (net income including social transfers),,,,gini coefficients,29.4
2024,gini coefficient,equivalised disposable income (net income including social transfers),,,,gini coefficients,29.5
2025,gini coefficient,equivalised disposable income (net income including social transfers),,,,gini coefficients,30.1
