Year,Value,Units,Series,GeoCode
2010,930.2,million tonnes of CO₂ equivalents,total greenhouse gas emissions,
2011,906.7,million tonnes of CO₂ equivalents,total greenhouse gas emissions,
2012,917.0,million tonnes of CO₂ equivalents,total greenhouse gas emissions,
2013,934.0,million tonnes of CO₂ equivalents,total greenhouse gas emissions,
2014,893.5,million tonnes of CO₂ equivalents,total greenhouse gas emissions,
2015,901.8,million tonnes of CO₂ equivalents,total greenhouse gas emissions,
2016,897.3,million tonnes of CO₂ equivalents,total greenhouse gas emissions,
2017,882.2,million tonnes of CO₂ equivalents,total greenhouse gas emissions,
2018,852.9,million tonnes of CO₂ equivalents,total greenhouse gas emissions,
2019,798.0,million tonnes of CO₂ equivalents,total greenhouse gas emissions,
2020,733.0,million tonnes of CO₂ equivalents,total greenhouse gas emissions,
2021,761.4,million tonnes of CO₂ equivalents,total greenhouse gas emissions,
2022,748.8,million tonnes of CO₂ equivalents,total greenhouse gas emissions,
2023,672.0,million tonnes of CO₂ equivalents,total greenhouse gas emissions,
2024,649.1,million tonnes of CO₂ equivalents,total greenhouse gas emissions,
2010,,,biodiversity intactness index,
2011,,,biodiversity intactness index,
2012,,,biodiversity intactness index,
2013,,,biodiversity intactness index,
2014,,,biodiversity intactness index,
2015,,,biodiversity intactness index,
2016,,,biodiversity intactness index,
2017,,,biodiversity intactness index,
2018,,,biodiversity intactness index,
2019,,,biodiversity intactness index,
2020,,,biodiversity intactness index,
2021,,,biodiversity intactness index,
2022,,,biodiversity intactness index,
2023,,,biodiversity intactness index,
2024,,,biodiversity intactness index,
