Value,Disaggregation combinations using this value,Number of indicators
12 to under 18 years,1,1
13 years and younger,18,2
14 to under 18 years,18,2
15 to under 25 years,72,2
15 years and older,108,2
16 to under 25 years,32,4
18 to under 21 years,18,2
18 to under 65 years,1,1
21 to under 60 years,18,2
25 to under 35 years,16,2
25 to under 45 years,108,2
25 to under 65 years,16,2
35 to under 45 years,16,2
45 to under 55 years,122,4
5 years and younger,1,1
55 to under 65 years,100,4
6 to under 12 years,1,1
60 years and older,18,2
65 to under 75 years,16,2
65 years and older,73,3
75 years and older,16,2
